config,score,pos_years,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl
alloc_70_30,50.748,5,49.39,6.92,17.63,0.4,28.29,258,3.58,1.246,14938.85,6.0,19.14
ema_5_13_ba15,50.679,5,47.19,6.66,15.78,0.427,30.82,292,4.06,1.253,14718.64,6.0,16.16
no_rsi,49.423,6,42.87,6.13,15.08,0.4,28.29,258,3.58,1.244,14286.81,6.0,16.62
final_locked,49.423,6,42.87,6.13,15.08,0.4,28.29,258,3.58,1.244,14286.81,6.0,16.62
ema_5_13_smax2,49.046,4,42.39,6.07,16.12,0.403,28.69,251,3.49,1.249,14239.45,6.0,16.89
conservative_risk,48.294,6,35.08,5.14,10.9,0.425,28.29,258,3.58,1.265,13508.2,6.0,13.6
alloc_50_50,48.032,6,36.13,5.28,12.47,0.399,28.29,258,3.58,1.238,13613.36,6.0,14.01
static_targets,47.998,5,39.24,5.67,15.75,0.382,28.52,256,3.56,1.212,13924.47,6.0,15.33
freq_boost,46.75,4,35.9,5.25,15.96,0.35,30.36,303,4.21,1.19,13589.74,6.0,11.85
strict_adx,40.838,3,29.55,4.41,18.2,0.327,25.98,204,2.83,1.204,12954.98,6.0,14.49
ref_3_9_9_21,28.829,2,0.2,0.03,19.76,0.049,24.12,170,2.36,1.002,10020.25,6.0,0.12
higher_rr_sniper,-2.873,0,-14.81,-2.64,19.05,-0.423,18.37,49,0.68,0.571,8519.07,6.0,-30.22
