family,name,ret,dd,sharpe,wr,pf,trades,tpm,e1819,e2020,e2123,e2425,min_era,pos_years,passes,score,error
residual_sweep,rs_0,10.32,5.88,0.222,39.53,1.39,43.0,0.45,-0.16,-0.99,16.99,-5.53,-5.53,4.0,False,0.949,
residual_sweep,rs_1,7.79,8.61,0.17,38.89,1.248,54.0,0.56,-2.17,-1.95,15.49,-3.59,-3.59,2.0,False,2.533,
residual_sweep,rs_2,17.31,5.47,0.285,37.21,1.613,43.0,0.45,0.92,-0.64,21.86,-4.83,-4.83,5.0,False,2.475,
residual_sweep,rs_3,15.99,6.59,0.261,37.04,1.481,54.0,0.56,-1.09,-1.62,20.5,-1.8,-1.8,4.0,False,5.325,
residual_sweep,rs_4,7.02,6.12,0.165,35.29,1.319,34.0,0.35,1.94,-1.01,11.73,-5.65,-5.65,5.0,False,0.385,
residual_sweep,rs_5,4.33,6.62,0.109,33.33,1.165,42.0,0.44,0.91,-2.01,9.56,-4.14,-4.14,4.0,False,1.515,
residual_sweep,rs_6,11.13,6.12,0.204,32.35,1.476,34.0,0.35,3.04,-0.65,14.11,-5.36,-5.36,4.0,False,1.157,
residual_sweep,rs_7,9.19,7.88,0.172,30.95,1.333,42.0,0.44,2.02,-1.67,11.82,-2.99,-2.99,5.0,False,3.272,
residual_sweep,rs_8,16.69,3.92,0.357,46.43,2.155,28.0,0.29,-2.32,0.03,19.84,-0.86,-2.32,5.0,False,5.065,
residual_sweep,rs_9,16.37,5.86,0.343,45.95,1.905,37.0,0.39,-3.31,-0.95,19.6,1.03,-3.31,4.0,False,4.012,
residual_sweep,rs_10,21.72,3.14,0.361,42.86,2.394,28.0,0.29,-2.32,0.38,23.51,0.15,-2.32,5.0,False,5.576,
residual_sweep,rs_11,22.81,4.9,0.37,43.24,2.184,37.0,0.39,-3.31,-0.61,23.55,3.18,-3.31,4.0,False,4.71,
residual_sweep,rs_12,14.98,2.26,0.333,45.45,2.334,22.0,0.23,-1.28,0.03,17.38,-1.14,-1.28,5.0,False,5.882,
residual_sweep,rs_13,14.4,3.25,0.318,42.86,2.029,28.0,0.29,-1.28,-0.97,16.35,0.31,-1.28,4.0,True,25.794,
residual_sweep,rs_14,18.12,2.13,0.318,40.91,2.476,22.0,0.23,-1.28,0.38,19.68,-0.66,-1.28,4.0,False,6.166,
residual_sweep,rs_15,18.42,3.12,0.319,39.29,2.225,28.0,0.29,-1.28,-0.62,18.61,1.71,-1.28,3.0,True,26.198,
residual_sweep,rs_16,4.88,3.17,0.318,54.55,2.058,11.0,0.11,0.0,1.06,4.86,-1.04,-1.04,5.0,False,5.085,
residual_sweep,rs_17,4.59,4.04,0.254,50.0,1.55,20.0,0.21,-1.02,0.04,4.91,0.66,-1.02,5.0,False,4.95,
residual_sweep,rs_18,8.15,3.17,0.411,54.55,2.725,11.0,0.11,0.0,1.43,7.33,-0.6,-0.6,5.0,False,6.033,
residual_sweep,rs_19,9.12,4.38,0.39,50.0,2.071,20.0,0.21,-1.02,0.4,7.64,2.09,-1.02,5.0,False,5.675,
residual_sweep,rs_20,3.65,3.17,0.249,50.0,1.797,10.0,0.1,0.0,1.06,3.61,-1.03,-1.03,5.0,False,4.837,
residual_sweep,rs_21,3.13,4.38,0.192,43.75,1.428,16.0,0.17,0.0,0.04,2.8,0.28,0.0,4.0,False,5.697,
residual_sweep,rs_22,6.45,3.17,0.343,50.0,2.382,10.0,0.1,0.0,1.43,5.62,-0.59,-0.59,5.0,False,5.736,
residual_sweep,rs_23,6.72,4.38,0.322,43.75,1.904,16.0,0.17,0.0,0.4,4.78,1.54,0.0,5.0,False,6.316,
residual_sweep,rs_24,9.62,3.12,0.431,54.55,2.081,22.0,0.23,-0.14,0.03,7.08,2.66,-0.14,7.0,False,8.687,
residual_sweep,rs_25,6.34,5.04,0.262,46.67,1.468,30.0,0.31,-2.15,-0.96,7.01,2.44,-2.15,6.0,False,6.007,
residual_sweep,rs_26,16.36,3.12,0.559,54.55,2.798,22.0,0.23,0.94,0.39,11.24,3.79,0.39,7.0,False,10.143,
residual_sweep,rs_27,13.56,4.67,0.428,46.67,1.979,30.0,0.31,-1.07,-0.62,11.37,3.88,-1.07,6.0,True,28.142,
