total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl,cfg,mode,pos_years,n_sniper,n_bg
5.16,0.84,19.63,0.108,25.77,163,2.26,1.046,10515.62,6.0,3.16,ref_classic,raw,3,126,37
-9.64,-1.67,19.76,-0.104,20.49,205,2.85,0.91,9036.5,6.0,-4.7,ref_classic,be_only,2,167,38
-14.02,-2.49,19.64,-0.303,33.03,218,3.03,0.86,8597.79,6.0,-6.43,ref_classic,managed,1,180,38
10.02,1.6,16.67,0.153,27.92,265,3.68,1.059,11001.77,6.0,3.78,ema513,raw,3,189,76
19.97,3.08,17.54,0.245,23.95,309,4.29,1.113,11997.27,6.0,6.46,ema513,be_only,4,232,77
3.1,0.51,18.46,0.085,37.38,321,4.46,1.021,10310.32,6.0,0.97,ema513,managed,4,242,79
0.88,0.15,15.91,0.053,32.89,298,4.14,1.006,10087.96,6.0,0.3,ema513_mod,raw,3,187,111
-8.5,-1.47,20.12,-0.095,27.46,335,4.65,0.941,9149.95,6.0,-2.54,ema513_mod,be_only,3,225,110
3.75,0.62,13.85,0.102,37.46,355,4.93,1.028,10374.68,6.0,1.06,ema513_mod,managed,4,241,114
10.61,1.7,8.65,0.257,39.84,246,3.42,1.112,11061.31,6.0,4.31,balanced,raw,2,156,90
8.74,1.41,8.87,0.222,36.96,257,3.57,1.094,10874.21,6.0,3.4,balanced,be_only,3,167,90
1.72,0.28,8.69,0.069,35.66,272,3.78,1.021,10171.92,6.0,0.63,balanced,managed,3,182,90
