name,sniper_risk,bg_risk,tp,sa,ba,ret,dd,sharpe,wr,tpm,pf,pos,train,oos,oos_dd,y2024,y2025
c1,1.0,1.0,3.0,15,25,11.65,17.78,0.199,30.69,11.41,1.046,4,12.86,2.35,8.14,1.2612734520298652,-2.304040474416702
c2,1.0,1.0,3.0,18,25,10.45,17.26,0.177,30.47,11.17,1.039,4,13.97,-1.0,9.72,2.2415600761047427,-5.208061801678365
c3,1.0,0.75,3.0,18,25,6.06,17.12,0.124,30.47,11.17,1.025,4,12.56,-2.55,9.61,2.0999670302608298,-7.713940165042343
c4,1.5,0.75,3.0,18,25,12.54,20.28,0.186,29.39,7.75,1.049,3,16.44,-7.51,14.15,-3.3539182499703446,0.0
c5,2.0,1.0,3.0,18,25,21.2,20.13,0.242,30.14,6.96,1.07,3,21.2,-20.02,20.02,0.0,0.0
c6,1.0,0.5,3.0,18,25,4.66,17.77,0.107,30.47,11.17,1.021,3,10.78,-4.08,9.51,-0.08544581665440587,-5.444854932991216
c7,1.5,1.0,3.0,15,22,16.15,20.14,0.228,30.79,8.39,1.065,1,16.15,-0.39,13.29,0.0,0.0
c8,2.0,0.5,4.0,15,22,48.29,19.63,0.413,29.14,6.29,1.201,2,48.29,-20.04,20.04,0.0,0.0
c9,2.0,0.5,3.0,18,25,19.22,20.03,0.231,30.84,6.13,1.074,2,19.22,-19.4,19.9,0.0,0.0
c10,2.0,1.0,3.0,20,25,-11.2,20.42,-0.219,26.4,1.74,0.82,0,-11.2,-20.27,20.27,0.0,0.0
