config,score,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl,p_name,p_sniper_fast,p_sniper_slow,p_sniper_adx,p_sniper_sl_atr,p_sniper_tp_atr,p_sniper_risk_pct,p_sniper_max_per_month,p_bg_fast,p_bg_slow,p_bg_adx,p_bg_sl_atr,p_bg_tp_atr,p_bg_risk_pct,p_bg_max_per_month,p_atr_period,p_adx_period,p_atr_z_lookback,p_rsi_period,p_use_rsi_filter,p_rsi_long_max,p_rsi_short_min,p_use_dynamic_targets,p_high_vol_mult,p_low_vol_mult,p_normal_vol_mult,p_high_z,p_low_z,p_sniper_alloc,p_background_alloc
grid_028_sa15_ba15_sm3_stp5.0,50.489,43.33,9.44,17.12,0.599,32.4,179,3.74,1.458,14332.72,3.99,24.21,grid_028_sa15_ba15_sm3_stp5.0,5,13,15.0,1.0,5.0,2.0,3,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_016_sa12_ba15_sm3_stp5.0,49.67,39.47,8.69,13.4,0.533,31.44,194,4.05,1.349,13946.63,3.99,20.34,grid_016_sa12_ba15_sm3_stp5.0,5,13,12.0,1.0,5.0,2.0,3,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_026_sa15_ba15_sm2_stp5.0,49.237,37.74,8.35,13.96,0.549,32.39,176,3.67,1.403,13774.12,3.99,21.44,grid_026_sa15_ba15_sm2_stp5.0,5,13,15.0,1.0,5.0,2.0,2,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_014_sa12_ba15_sm2_stp5.0,49.235,37.4,8.28,12.32,0.521,31.75,189,3.95,1.337,13739.68,3.99,19.79,grid_014_sa12_ba15_sm2_stp5.0,5,13,12.0,1.0,5.0,2.0,2,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_032_sa15_ba18_sm3_stp5.0,48.753,39.47,8.69,18.72,0.562,28.95,152,3.17,1.448,13946.83,3.99,25.97,grid_032_sa15_ba18_sm3_stp5.0,5,13,15.0,1.0,5.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_020_sa12_ba18_sm3_stp5.0,48.278,35.76,7.96,13.77,0.496,28.14,167,3.49,1.336,13576.33,3.99,21.42,grid_020_sa12_ba18_sm3_stp5.0,5,13,12.0,1.0,5.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_018_sa12_ba18_sm2_stp5.0,47.993,33.65,7.54,12.01,0.483,28.4,162,3.38,1.323,13365.13,3.99,20.77,grid_018_sa12_ba18_sm2_stp5.0,5,13,12.0,1.0,5.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_024_sa12_ba20_sm3_stp5.0,47.573,33.69,7.54,13.6,0.475,26.11,157,3.28,1.322,13368.6,3.99,21.46,grid_024_sa12_ba20_sm3_stp5.0,5,13,12.0,1.0,5.0,2.0,3,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_030_sa15_ba18_sm2_stp5.0,47.474,33.92,7.59,15.62,0.509,28.86,149,3.11,1.389,13391.67,3.99,22.76,grid_030_sa15_ba18_sm2_stp5.0,5,13,15.0,1.0,5.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_022_sa12_ba20_sm2_stp5.0,47.233,31.55,7.11,12.01,0.461,26.32,152,3.17,1.309,13155.17,3.99,20.76,grid_022_sa12_ba20_sm2_stp5.0,5,13,12.0,1.0,5.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
