config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
ref_brief,-18.26,42.57,-0.124,28.52,16.75,0.935,1206,3,-3.6815858312740146,-17.532088582788496,6.270939618700511,5.35845956838783,-7.07,19.96
ref_di,-4.2,32.43,0.018,28.63,15.77,0.986,1135,3,-3.7139903162219823,-11.375187402889575,3.108010089834079,-0.1375136646543984,-2.41,20.11
r1.0_0.5_tp3.0_a15_20,6.75,18.14,0.137,33.83,15.77,1.027,1135,1,-0.5261169478829153,-0.2919819440068916,-0.20776601961212116,-0.5626729871262115,6.75,18.14
r1.0_0.5_tp3.0_a15_22,8.55,17.98,0.164,32.72,13.67,1.037,984,1,-0.21332876590542948,-1.4957587635430536,-0.19218732777184222,-0.659010464893417,8.55,17.98
r1.0_0.5_tp3.0_a15_25,7.58,18.21,0.153,30.69,11.41,1.035,821,3,0.6259889440730415,-1.9008136096987038,0.7931365812378299,-2.951610606682409,7.58,18.21
r1.0_0.5_tp3.0_a18_20,3.94,19.01,0.097,33.72,15.53,1.016,1118,3,2.1112701327688166,2.278093657502067,-1.6281265590642358,-1.261668914020908,3.94,19.01
r1.0_0.5_tp3.0_a18_22,3.97,17.97,0.096,32.57,13.43,1.017,967,3,2.4312500671730186,1.0593189115356116,-2.071596519586294,-4.088820997657772,3.97,17.97
r1.0_0.5_tp3.0_a18_25,4.66,17.77,0.107,30.47,11.17,1.021,804,3,3.2942447066193647,0.6512302308315565,-0.08544581665440587,-5.444854932991216,4.66,17.77
r1.0_0.5_tp3.0_a20_20,-12.47,22.23,-0.167,33.09,15.16,0.943,1091,2,-8.712248365653297,6.3890000949989645,-11.29407681998642,-3.987173572297986,-11.53,20.01
r1.0_0.5_tp3.0_a20_22,-16.43,21.94,-0.253,31.81,13.06,0.916,940,2,-9.623754282045782,5.112258868328556,-11.001712923437157,-4.781549556566378,-14.68,19.97
r1.0_0.5_tp3.0_a20_25,-7.77,18.97,-0.081,29.47,10.79,0.963,777,2,-7.6479188387505115,4.694388411816175,-6.3756060055043084,-8.270733087058701,-7.77,18.97
r1.0_0.5_tp4.0_a15_20,16.15,21.28,0.238,31.07,15.74,1.059,1133,3,-1.2969791830383492,2.1624372888848775,-4.096825203584553,0.5614481833864815,11.95,20.12
r1.0_0.5_tp4.0_a15_22,17.65,21.05,0.253,29.53,13.64,1.065,982,3,-0.9921380278443581,0.944032979531495,-6.812202829956149,-0.2679830196199773,15.2,19.86
r1.0_0.5_tp4.0_a15_25,17.2,21.73,0.254,26.86,11.38,1.069,819,2,-0.16203424114952236,0.5315717920856056,-4.3359218642007535,-1.4999122311833313,15.36,20.13
r1.0_0.5_tp4.0_a18_20,8.41,22.07,0.148,30.65,15.5,1.032,1116,2,-3.9498079033582822,2.2157017558147363,-7.912168183903711,-1.6395286335899928,6.99,20.14
r1.0_0.5_tp4.0_a18_22,9.07,21.9,0.156,29.02,13.41,1.036,965,2,-3.651234355769495,1.0316550807969005,-8.202111838409564,-2.451070564472835,8.53,20.08
r1.0_0.5_tp4.0_a18_25,9.09,22.28,0.157,26.18,11.14,1.038,802,2,-2.8422755989487736,0.6337531232868621,-7.407422980374234,-3.655390387943769,9.78,20.03
r1.0_0.5_tp4.0_a20_20,-3.59,24.99,-0.009,30.57,15.09,0.985,1086,2,-7.98613808374532,7.16943107788055,-12.316016516494033,-4.7084657937628505,0.0,20.2
r1.0_0.5_tp4.0_a20_22,-4.81,25.26,-0.027,28.88,12.99,0.979,935,2,-7.491376123905402,5.911001624887291,-13.884942864534722,-5.494464995200499,0.71,19.99
r1.0_0.5_tp4.0_a20_25,-2.3,25.4,0.009,25.91,10.72,0.989,772,2,-7.90273229018601,5.506943785241236,-12.191592123440886,-6.660861975382193,3.6,20.11
r1.0_0.75_tp3.0_a15_20,8.31,18.06,0.154,33.83,15.77,1.03,1135,3,-0.7529678952022056,1.8451073953240416,-1.5265265363199387,2.0703369095603774,8.31,18.06
r1.0_0.75_tp3.0_a15_22,8.67,18.13,0.162,32.72,13.67,1.034,984,2,-0.4974642748631908,0.04564159282305358,-1.0866991725442032,-0.18753225620925518,8.67,18.13
r1.0_0.75_tp3.0_a15_25,9.04,18.38,0.171,30.69,11.41,1.039,821,2,0.8305617868636705,-0.7119403425197235,-0.20262428576834912,-2.1972269910172204,9.04,18.38
r1.0_0.75_tp3.0_a18_20,5.08,19.1,0.111,33.72,15.53,1.019,1118,3,1.880537989049258,4.46166966069228,-1.7717917864696675,-0.41336106352195534,5.08,19.1
r1.0_0.75_tp3.0_a18_22,4.9,17.9,0.109,32.57,13.43,1.019,967,3,2.1408968342463863,2.6396801990756114,-3.2408506522774383,-3.0592697127021617,4.9,17.9
r1.0_0.75_tp3.0_a18_25,6.06,17.12,0.124,30.47,11.17,1.025,804,4,3.505222021101795,1.87126889783098,2.0999670302608298,-7.713940165042343,6.06,17.12
