config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2021,y2022,y2023,y2024,y2025
ref,-18.26,42.57,-0.124,28.52,16.75,0.935,1206,3,-3.6815858312740146,-10.389819558173407,-17.532088582788496,2.5689090309855667,6.270939618700511,5.35845956838783
ref_di,31.75,26.71,0.274,30.19,15.74,1.067,1133,2,13.479290371499042,-5.659082213190459,-6.906212955007829,46.127501630925494,-3.2222894423901693,-6.52138551198056
ref_di_session,68.65,24.19,0.448,28.32,13.2,1.13,950,3,29.48892667463856,-1.4714414656101793,-3.388778713133178,53.51135835090444,-12.287432729500292,1.6172943908001836
r1_0.5_tp3_a12_20,37.05,13.64,0.443,35.06,15.81,1.125,1138,5,0.49802076872735856,7.586348201095627,-4.938081074890077,17.352727114797762,8.726436666586146,4.499833701918932
r1_0.5_tp3_a15_22,78.95,10.35,0.771,35.46,13.71,1.239,987,6,6.048481855812948,16.34730436549394,7.451638269615368,17.4456175381162,6.131887471505881,8.288613455078565
r1_0.5_tp3_a18_25,64.81,9.81,0.689,33.29,11.39,1.22,820,6,9.153926256963253,12.678121616720706,5.2283863412213805,14.004541259057056,6.935362185725458,4.456943816241865
r1_0.5_tp3_a10_18,35.95,12.2,0.428,35.5,17.77,1.116,1279,5,-0.04125866370211506,3.5131692499842604,3.226274817452812,15.186278022581146,5.928552056954084,4.321718808784514
r1_0.5_tp4_a12_20,28.74,15.33,0.337,31.95,15.78,1.09,1136,4,3.0523871286785687,12.608275077318787,-0.7832649009920645,8.820874374867715,-3.4944354971368052,6.475313750879219
r1_0.5_tp4_a15_22,89.46,11.07,0.751,31.98,13.68,1.226,985,5,9.67315878342112,27.22904748267947,15.294929433028992,16.150177961795297,-3.527687472015273,5.0990963260952205
r1_0.5_tp4_a18_25,42.65,16.08,0.458,28.48,11.36,1.132,818,4,3.932007373868518,30.01135394598473,6.235081392404673,12.185530136652112,-7.558289285513942,-4.177601169360823
r1_0.5_tp4_a10_18,16.36,16.22,0.225,32.58,17.74,1.05,1277,4,2.48364570729791,4.2284960981883835,9.700359071737875,6.817580057004635,-3.7546387207008203,-3.4104613938075734
r1_0.5_tp5_a12_20,29.6,18.43,0.326,30.19,15.74,1.093,1133,4,12.014926140043492,3.332944822715489,-9.446938730987908,22.163954162801502,3.8730061358387857,-2.5580876483409676
r1_0.5_tp5_a15_22,95.03,12.55,0.72,29.4,13.66,1.222,983,4,20.649469935362454,19.906626445172627,3.2051859584132147,36.12129207104198,-3.2465168950759127,-0.8187467315520003
r1_0.5_tp5_a18_25,115.36,13.71,0.811,27.22,11.28,1.276,812,4,13.989072623344544,37.77846782561065,7.7948706397214185,31.611611048027854,-1.2002288061205735,-2.168464344222898
