pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
GBPUSD,sniper,long,2020-02-18 00:00:00+00:00,1.3006548545837402,1.2907541353849572,1.3600591697764377,12120.331623459288,2.0,2020-02-20 00:00:00+00:00,1.2906416353849572,-121.36353730763868,-1.213635373076387,stop_loss,2,normal,1.2907541353849572,1.3600591697764377,12120.331623459288,0.0,False,False
USDJPY,sniper,long,2020-02-07 00:00:00+00:00,109.96625183105469,109.06152583957288,115.39460777994559,2728.109715523462,2.0,2020-02-28 00:00:00+00:00,109.05027583957288,-22.724089981596396,-0.22724089981596396,stop_loss,15,normal,109.06152583957288,115.39460777994559,2728.109715523462,0.0,False,False
USDJPY,background,long,2020-02-07 00:00:00+00:00,109.96625183105469,108.15679984809105,112.68042980550014,1818.7398103489747,1.0,2020-02-28 00:00:00+00:00,108.14554984809105,-30.11272207663036,-0.3011272207663036,stop_loss,15,normal,108.15679984809105,112.68042980550014,1818.7398103489747,0.0,False,False
GBPUSD,sniper,short,2020-02-20 00:00:00+00:00,1.2927122451782227,1.3029464822815122,1.231306822558485,11583.045844639033,2.0,2020-03-06 00:00:00+00:00,1.3030589822815122,-119.84673020982974,-1.1984673020982974,stop_loss,11,normal,1.3029464822815122,1.231306822558485,11583.045844639033,0.0,False,False
USDJPY,background,short,2020-03-03 00:00:00+00:00,108.4357485961914,110.65709123710772,105.10373463481693,1812.2805030331567,1.0,2020-03-06 00:00:00+00:00,105.11498463481693,55.49973934136214,0.5549973934136213,take_profit,3,normal,110.65709123710772,105.10373463481693,1812.2805030331567,0.0,False,False
EURUSD,background,long,2020-03-04 00:00:00+00:00,1.1178329983139037,1.1014278991126185,1.1424406471158315,2395.791584086093,1.0,2020-03-09 00:00:00+00:00,1.1423381471158316,58.70922926643624,0.5870922926643624,take_profit,3,normal,1.1014278991126185,1.1424406471158315,2395.791584086093,0.0,False,False
GBPUSD,sniper,long,2020-03-10 00:00:00+00:00,1.3076438568115234,1.295173383991903,1.382466693729245,9449.677199326352,2.0,2020-03-11 00:00:00+00:00,1.2950608839919031,-118.90503135330904,-1.1890503135330905,stop_loss,1,normal,1.295173383991903,1.382466693729245,9449.677199326352,0.0,False,False
EURUSD,sniper,long,2020-03-02 00:00:00+00:00,1.105355719604492,1.0977793303571592,1.150814055088489,15562.769012840521,2.0,2020-03-17 00:00:00+00:00,1.0976768303571593,-119.50477963142411,-1.195047796314241,stop_loss,11,normal,1.0977793303571592,1.150814055088489,15562.769012840521,0.0,False,False
USDJPY,sniper,short,2020-03-02 00:00:00+00:00,107.74074890136718,108.84254894456791,101.12994864216279,2735.9563816368036,2.0,2020-03-19 00:00:00+00:00,108.85379894456791,-28.26466680275241,-0.2826466680275241,stop_loss,13,normal,108.84254894456791,101.12994864216279,2735.9563816368036,0.0,False,False
GBPUSD,sniper,short,2020-03-13 00:00:00+00:00,1.2571640350341797,1.2739179665560456,1.1566404459029838,6948.523225143297,2.0,2020-03-19 00:00:00+00:00,1.1567529459029837,697.7087848900492,6.977087848900491,take_profit,4,normal,1.2739179665560456,1.1566404459029838,6948.523225143297,0.0,False,False
EURUSD,background,short,2020-03-23 00:00:00+00:00,1.0686503848648072,1.102368557701326,1.0180731256100293,1216.1034046343116,1.0,2020-03-26 00:00:00+00:00,1.102471057701326,-41.12943538351355,-0.4112943538351356,stop_loss,3,normal,1.102368557701326,1.0180731256100293,1216.1034046343116,0.0,False,False
EURUSD,sniper,short,2020-03-19 00:00:00+00:00,1.0942408046340943,1.1100438464388318,0.9994225538056699,7784.2200174866675,2.0,2020-03-30 00:00:00+00:00,1.1101463464388317,-123.81223690540753,-1.2381223690540752,stop_loss,7,normal,1.1100438464388318,0.9994225538056699,7784.2200174866675,0.0,False,False
EURUSD,sniper,long,2020-03-31 00:00:00+00:00,1.1029423275375365,1.090168658484069,1.179584341858341,9475.355418989324,2.0,2020-04-02 00:00:00+00:00,1.0900661584840692,-122.00627821659434,-1.2200627821659433,stop_loss,2,high,1.090168658484069,1.179584341858341,9475.355418989324,0.0,False,False
GBPUSD,sniper,long,2020-04-01 00:00:00+00:00,1.2412691972732544,1.221089720424084,1.3623460583682756,5997.928251104552,2.0,2020-04-03 00:00:00+00:00,1.220977220424084,-121.70982121439795,-1.2170982121439795,stop_loss,2,high,1.221089720424084,1.3623460583682756,5997.928251104552,0.0,False,False
USDJPY,sniper,short,2020-04-02 00:00:00+00:00,107.27475311279296,108.59980102213504,99.32446565674054,2786.5591734764484,2.0,2020-04-03 00:00:00+00:00,108.61105102213504,-34.711552249944134,-0.34711552249944133,stop_loss,1,high,108.59980102213504,99.32446565674054,2786.5591734764484,0.0,False,False
AUDUSD,sniper,short,2020-04-03 00:00:00+00:00,0.6067825227546692,0.6188233440542165,0.5345375949573852,9774.575964382308,2.0,2020-04-07 00:00:00+00:00,0.6189308440542165,-118.74468938214916,-1.1874468938214917,stop_loss,2,high,0.6188233440542165,0.5345375949573852,9774.575964382308,0.0,False,False
EURUSD,sniper,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.092871014087012,1.007824538150964,9687.143978562442,2.0,2020-04-09 00:00:00+00:00,1.0929735140870118,-118.68685472377932,-1.1868685472377933,stop_loss,3,high,1.092871014087012,1.007824538150964,9687.143978562442,0.0,False,False
USDJPY,background,long,2020-03-23 00:00:00+00:00,110.41524932861329,106.45404984021309,116.35704856121357,1142.9753913957763,1.0,2020-04-29 00:00:00+00:00,106.44279984021308,-41.12124037587585,-0.4112124037587585,stop_loss,27,normal,106.45404984021309,116.35704856121357,1142.9753913957763,0.0,False,False
EURUSD,sniper,short,2020-04-20 00:00:00+00:00,1.0865233144378663,1.0993800459442444,1.0093829253995974,8932.65476375026,2.0,2020-05-01 00:00:00+00:00,1.0994825459442443,-115.76034104999,-1.1576034104999,stop_loss,9,normal,1.0993800459442444,1.0093829253995974,8932.65476375026,0.0,False,False
EURUSD,sniper,long,2020-05-04 00:00:00+00:00,1.0958487787628173,1.0851689856889224,1.1599275372061868,10577.186671876147,2.0,2020-05-05 00:00:00+00:00,1.0850664856889225,-114.04632659346233,-1.1404632659346232,stop_loss,1,normal,1.0851689856889224,1.1599275372061868,10577.186671876147,0.0,False,False
EURUSD,sniper,short,2020-05-08 00:00:00+00:00,1.0835911235427858,1.0940349938532203,1.020927901680178,10685.081844513155,2.0,2020-05-19 00:00:00+00:00,1.0941374938532202,-112.68882992953607,-1.1268882992953608,stop_loss,7,normal,1.0940349938532203,1.020927901680178,10685.081844513155,0.0,False,False
USDJPY,sniper,short,2020-04-15 00:00:00+00:00,107.09274627685546,108.44422827265554,98.98385430205502,2680.964582788144,2.0,2020-06-02 00:00:00+00:00,108.45547827265554,-34.11469351180298,-0.34114693511802985,stop_loss,34,normal,108.44422827265554,98.98385430205502,2680.964582788144,0.0,False,False
GBPUSD,sniper,short,2020-06-22 00:00:00+00:00,1.2344401218414307,1.24869685511433,1.1488997222040347,7703.866282464469,2.0,2020-06-23 00:00:00+00:00,1.24880935511433,-110.69865171595545,-1.1069865171595545,stop_loss,1,normal,1.24869685511433,1.1488997222040347,7703.866282464469,0.0,False,False
EURUSD,sniper,long,2020-06-24 00:00:00+00:00,1.1314650574111937,1.1213445748226132,1.1921879529426764,10721.18666169309,2.0,2020-06-25 00:00:00+00:00,1.1212420748226133,-109.60250457140945,-1.0960250457140945,stop_loss,1,normal,1.1213445748226132,1.1921879529426764,10721.18666169309,0.0,False,False
USDJPY,sniper,short,2020-06-12 00:00:00+00:00,106.8107485961914,107.70519326397307,101.44408058950135,2570.714282099293,2.0,2020-06-29 00:00:00+00:00,107.71644326397308,-21.79820147586293,-0.21798201475862927,stop_loss,11,normal,107.70519326397307,101.44408058950135,2570.714282099293,0.0,False,False
USDJPY,sniper,short,2020-08-20 00:00:00+00:00,106.07874633789062,106.67984755246168,102.47213905046425,2519.9858161367206,2.0,2020-08-28 00:00:00+00:00,106.69109755246168,-14.546894910483898,-0.14546894910483898,stop_loss,6,high,106.67984755246168,102.47213905046425,2519.9858161367206,0.0,False,False
EURUSD,sniper,long,2020-07-01 00:00:00+00:00,1.1234707632446288,1.1107471800006545,1.199812262708475,8403.825590299728,2.0,2020-09-01 00:00:00+00:00,1.1997097627084752,640.6992546731194,6.406992546731194,take_profit,44,low,1.1107471800006545,1.199812262708475,8403.825590299728,0.0,False,False
EURUSD,sniper,short,2020-09-09 00:00:00+00:00,1.176811119041443,1.1863452632906983,1.1196062535459108,12003.238024441416,2.0,2020-09-10 00:00:00+00:00,1.1864477632906982,-115.67093468067539,-1.1567093468067537,stop_loss,1,normal,1.1863452632906983,1.1196062535459108,12003.238024441416,0.0,False,False
USDJPY,background,short,2020-08-20 00:00:00+00:00,106.07874633789062,107.28094876703274,104.27544269417743,1679.9905440911473,1.0,2020-09-18 00:00:00+00:00,104.28669269417743,28.381115726542713,0.2838111572654271,take_profit,21,high,107.28094876703274,104.27544269417743,1679.9905440911473,0.0,False,False
EURUSD,sniper,long,2020-09-16 00:00:00+00:00,1.1843753853225707,1.1721912889585315,1.2574799635068055,9278.698082253604,2.0,2020-09-22 00:00:00+00:00,1.1720887889585316,-114.00361812043333,-1.1400361812043334,stop_loss,4,low,1.1721912889585315,1.2574799635068055,9278.698082253604,0.0,False,False
EURUSD,sniper,short,2020-09-23 00:00:00+00:00,1.1706520518875123,1.1804239913473151,1.1120204151286952,11463.955747893791,2.0,2020-10-06 00:00:00+00:00,1.180526491347315,-113.20013700243453,-1.1320013700243454,stop_loss,9,normal,1.1804239913473151,1.1120204151286952,11463.955747893791,0.0,False,False
GBPUSD,background,short,2020-09-11 00:00:00+00:00,1.280969772529602,1.3049334337635856,1.2450242806786267,1572.5553573686316,1.0,2020-10-12 00:00:00+00:00,1.3050459337635856,-37.86109633337169,-0.3786109633337169,stop_loss,21,high,1.3049334337635856,1.2450242806786267,1572.5553573686316,0.0,False,False
GBPUSD,sniper,short,2020-09-10 00:00:00+00:00,1.299770508003235,1.3113279478656035,1.2304258688290233,9781.79881645817,2.0,2020-10-21 00:00:00+00:00,1.3114404478656034,-114.15300393385448,-1.1415300393385448,stop_loss,29,high,1.3113279478656035,1.2304258688290233,9781.79881645817,0.0,False,False
EURUSD,sniper,long,2020-10-07 00:00:00+00:00,1.173839072265625,1.1624423647024902,1.2422193176444338,9710.407964860344,2.0,2020-11-02 00:00:00+00:00,1.1623398647024903,-111.66199671064459,-1.1166199671064458,stop_loss,18,low,1.1624423647024902,1.2422193176444338,9710.407964860344,0.0,False,False
EURUSD,sniper,short,2020-11-02 00:00:00+00:00,1.1641502580261232,1.1750803827447849,1.0985695097141528,9835.438249571545,2.0,2020-11-04 00:00:00+00:00,1.1751828827447848,-108.51069915109302,-1.0851069915109302,stop_loss,2,low,1.1750803827447849,1.0985695097141528,9835.438249571545,0.0,False,False
EURUSD,background,short,2020-09-23 00:00:00+00:00,1.1706520518875123,1.190195930807118,1.1413362335081039,1910.6592913156321,1.0,2020-11-09 00:00:00+00:00,1.1902984308071178,-37.53753642345186,-0.3753753642345186,stop_loss,33,normal,1.190195930807118,1.1413362335081039,1910.6592913156321,0.0,False,False
EURUSD,sniper,long,2020-11-09 00:00:00+00:00,1.1894176998519896,1.1820170552476792,1.2338215674778528,14289.29418418839,2.0,2020-11-10 00:00:00+00:00,1.1819145552476793,-107.21464055749625,-1.0721464055749625,stop_loss,1,high,1.1820170552476792,1.2338215674778528,14289.29418418839,0.0,False,False
AUDUSD,sniper,short,2020-09-10 00:00:00+00:00,0.727694538192749,0.7357593055367763,0.6793059341285856,14018.079721881797,2.0,2020-11-24 00:00:00+00:00,0.7358668055367763,-114.55949513710615,-1.1455949513710615,stop_loss,53,normal,0.7357593055367763,0.6793059341285856,14018.079721881797,0.0,False,False
USDJPY,sniper,short,2020-08-28 00:00:00+00:00,106.64774658203125,107.26154930622447,102.96493023687195,2502.448836201672,2.0,2020-12-17 00:00:00+00:00,102.97618023687195,86.15190870830024,0.8615190870830024,take_profit,79,high,107.26154930622447,102.96493023687195,2502.448836201672,0.0,False,False
USDJPY,background,short,2020-10-15 00:00:00+00:00,105.12774993896484,106.51836469581231,103.04182780369364,1747.2764771469974,1.0,2020-12-17 00:00:00+00:00,103.05307780369364,34.48210222188073,0.3448210222188073,take_profit,45,low,106.51836469581231,103.04182780369364,1747.2764771469974,0.0,False,False
GBPUSD,sniper,long,2020-12-17 00:00:00+00:00,1.3504054210662841,1.3395122178241612,1.4157646405190216,9596.470760979993,2.0,2020-12-21 00:00:00+00:00,1.3393997178241612,-105.61590936705522,-1.0561590936705523,stop_loss,2,high,1.3395122178241612,1.4157646405190216,9596.470760979993,0.0,False,False
USDJPY,sniper,long,2021-01-12 00:00:00+00:00,104.14325378417969,103.54911385496203,107.70809335948563,2479.011163508706,2.0,2021-01-13 00:00:00+00:00,103.53786385496203,-14.410615553806691,-0.1441061555380669,stop_loss,1,normal,103.54911385496203,107.70809335948563,2479.011163508706,0.0,False,False
AUDUSD,background,long,2021-02-11 00:00:00+00:00,0.7725767225456238,0.7567297582403086,0.7963471690035965,2168.5749211667817,1.0,2021-02-25 00:00:00+00:00,0.7962396690035964,51.31487224967176,0.5131487224967176,take_profit,10,normal,0.7567297582403086,0.7963471690035965,2168.5749211667817,0.0,False,False
AUDUSD,sniper,long,2021-02-11 00:00:00+00:00,0.7725767225456238,0.7646532403929662,0.8201176154615692,13011.449527000688,2.0,2021-03-05 00:00:00+00:00,0.7645457403929662,-104.49471893154806,-1.0449471893154807,stop_loss,16,normal,0.7646532403929662,0.8201176154615692,13011.449527000688,0.0,False,False
GBPUSD,sniper,short,2021-03-08 00:00:00+00:00,1.3846989013671875,1.395947477038847,1.317207447337232,9108.515863510926,2.0,2021-03-11 00:00:00+00:00,1.3960599770388469,-103.48253798185712,-1.0348253798185711,stop_loss,3,normal,1.395947477038847,1.317207447337232,9108.515863510926,0.0,False,False
GBPUSD,sniper,long,2021-03-15 00:00:00+00:00,1.3932000062942504,1.3817495367996524,1.4619028232618392,8839.466323994888,2.0,2021-03-16 00:00:00+00:00,1.3816370367996524,-102.21047945287927,-1.0221047945287927,stop_loss,1,normal,1.3817495367996524,1.4619028232618392,8839.466323994888,0.0,False,False
AUDUSD,background,short,2021-03-09 00:00:00+00:00,0.7656010061073303,0.7842014171153336,0.7377003895953252,1836.121253864177,1.0,2021-03-18 00:00:00+00:00,0.7843089171153337,-34.34999301719464,-0.3434999301719464,stop_loss,7,normal,0.7842014171153336,0.7377003895953252,1836.121253864177,0.0,False,False
AUDUSD,sniper,long,2021-03-19 00:00:00+00:00,0.7753673524093628,0.7668433813902666,0.8265111785239398,11682.033361998418,2.0,2021-03-23 00:00:00+00:00,0.7667358813902666,-100.83313240820459,-1.008331324082046,stop_loss,2,normal,0.7668433813902666,0.8265111785239398,11682.033361998418,0.0,False,False
EURUSD,sniper,short,2021-01-13 00:00:00+00:00,1.2208241424179078,1.229608526647478,1.1681178370404863,11736.279449201444,2.0,2021-03-23 00:00:00+00:00,1.193405608215332,321.7915794889184,3.217915794889184,max_drawdown_halt,49,normal,1.229608526647478,1.1681178370404863,11736.279449201444,0.0,False,False
