pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
GBPUSD,sniper,long,2020-02-17 00:00:00+00:00,1.305203642654419,1.2951600350538282,1.355421680657373,11947.898083248667,2.0,2020-02-19 00:00:00+00:00,1.2950475350538282,-121.344138534365,-1.21344138534365,stop_loss,2,normal,1.2951600350538282,1.355421680657373,11947.898083248667,0.0,False,False
GBPUSD,sniper,short,2020-02-21 00:00:00+00:00,1.2880326845169068,1.298230716028394,1.2370425269594714,11624.191414201756,2.0,2020-02-25 00:00:00+00:00,1.2983432160283939,-119.85159187168485,-1.1985159187168484,stop_loss,2,normal,1.298230716028394,1.2370425269594714,11624.191414201756,0.0,False,False
USDJPY,sniper,long,2020-02-07 00:00:00+00:00,109.96625183105469,109.06152583957288,114.48988178846378,2728.109715523462,2.0,2020-02-28 00:00:00+00:00,109.05027583957288,-22.724089981596396,-0.22724089981596396,stop_loss,15,normal,109.06152583957288,114.48988178846378,2728.109715523462,0.0,False,False
USDJPY,background,long,2020-02-07 00:00:00+00:00,109.96625183105469,108.15679984809105,112.68042980550014,1818.7398103489747,1.0,2020-02-28 00:00:00+00:00,108.14554984809105,-30.11272207663036,-0.3011272207663036,stop_loss,15,normal,108.15679984809105,112.68042980550014,1818.7398103489747,0.0,False,False
USDJPY,background,short,2020-03-03 00:00:00+00:00,108.4357485961914,110.65709123710772,105.10373463481693,1790.1785311927338,1.0,2020-03-06 00:00:00+00:00,105.11498463481693,54.822882930877896,0.5482288293087789,take_profit,3,normal,110.65709123710772,105.10373463481693,1790.1785311927338,0.0,False,False
USDJPY,sniper,short,2020-02-28 00:00:00+00:00,109.64674713134765,110.66060850505751,104.57744026279833,2655.6102332635865,2.0,2020-03-09 00:00:00+00:00,104.58869026279834,122.50456973847153,1.2250456973847155,take_profit,6,normal,110.66060850505751,104.57744026279833,2655.6102332635865,0.0,False,False
EURUSD,background,long,2020-03-04 00:00:00+00:00,1.1178329983139037,1.1014278991126185,1.1424406471158315,2366.5733046650153,1.0,2020-03-09 00:00:00+00:00,1.1423381471158316,57.99323098148643,0.5799323098148642,take_profit,3,normal,1.1014278991126185,1.1424406471158315,2366.5733046650153,0.0,False,False
GBPUSD,sniper,long,2020-03-09 00:00:00+00:00,1.3097673318862915,1.2976057220090509,1.3705753812724941,9809.183068558223,2.0,2020-03-10 00:00:00+00:00,1.297493222009051,-120.3989907894511,-1.203989907894511,stop_loss,1,normal,1.2976057220090509,1.3705753812724941,9809.183068558223,0.0,False,False
AUDUSD,sniper,short,2020-03-12 00:00:00+00:00,0.6477425962257385,0.6579339064129648,0.5967860452896068,11563.838960811761,2.0,2020-03-17 00:00:00+00:00,0.5968935452896068,588.0102363355413,5.880102363355413,take_profit,3,normal,0.6579339064129648,0.5967860452896068,11563.838960811761,0.0,False,False
GBPUSD,sniper,short,2020-03-13 00:00:00+00:00,1.2571640350341797,1.2739179665560456,1.1733943774248499,7034.209830149781,2.0,2020-03-19 00:00:00+00:00,1.1735068774248498,588.4620004179379,5.8846200041793795,take_profit,4,normal,1.2739179665560456,1.1733943774248499,7034.209830149781,0.0,False,False
EURUSD,background,short,2020-03-23 00:00:00+00:00,1.0686503848648072,1.102368557701326,1.0180731256100293,1304.6212723887327,1.0,2020-03-26 00:00:00+00:00,1.102471057701326,-44.123169229022054,-0.4412316922902205,stop_loss,3,normal,1.102368557701326,1.0180731256100293,1304.6212723887327,0.0,False,False
EURUSD,sniper,long,2020-03-30 00:00:00+00:00,1.1136386194610595,1.1010904618080049,1.176379407726332,10474.75352551555,2.0,2020-03-31 00:00:00+00:00,1.100987961808005,-132.512520851423,-1.3251252085142302,stop_loss,1,high,1.1010904618080049,1.176379407726332,10474.75352551555,0.0,False,False
EURUSD,sniper,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.092871014087012,1.0199740347132564,10687.579332944766,2.0,2020-04-09 00:00:00+00:00,1.0929735140870118,-130.9441852464674,-1.309441852464674,stop_loss,3,high,1.092871014087012,1.0199740347132564,10687.579332944766,0.0,False,False
AUDUSD,sniper,short,2020-04-07 00:00:00+00:00,0.6117228537368774,0.623813336603588,0.5512704394033244,10739.74545072653,2.0,2020-04-09 00:00:00+00:00,0.623920836603588,-131.0032310007952,-1.310032310007952,stop_loss,2,high,0.623813336603588,0.5512704394033244,10739.74545072653,0.0,False,False
USDJPY,background,long,2020-03-24 00:00:00+00:00,110.87524841308594,107.00084873119536,116.6868479359218,1258.863592610874,1.0,2020-04-15 00:00:00+00:00,106.98959873119536,-44.117176630332274,-0.4411717663033227,stop_loss,16,normal,107.00084873119536,116.6868479359218,1258.863592610874,0.0,False,False
GBPUSD,sniper,short,2020-04-23 00:00:00+00:00,1.2321430780410767,1.2506845169070298,1.1394358837113112,6805.077759202532,2.0,2020-04-28 00:00:00+00:00,1.2507970169070297,-126.94150449822055,-1.2694150449822055,stop_loss,3,normal,1.2506845169070298,1.1394358837113112,6805.077759202532,0.0,False,False
EURUSD,sniper,short,2020-04-20 00:00:00+00:00,1.0865233144378663,1.0993800459442444,1.0222396569059755,9813.997685781625,2.0,2020-05-01 00:00:00+00:00,1.0994825459442443,-127.18186801310212,-1.2718186801310212,stop_loss,9,normal,1.0993800459442444,1.0222396569059755,9813.997685781625,0.0,False,False
EURUSD,sniper,long,2020-05-01 00:00:00+00:00,1.0945775308990477,1.0835108431807638,1.1499109694904672,11125.863123141222,2.0,2020-05-05 00:00:00+00:00,1.083408343180764,-124.26685375029547,-1.2426685375029547,stop_loss,2,normal,1.0835108431807638,1.1499109694904672,11125.863123141222,0.0,False,False
GBPUSD,sniper,long,2020-04-30 00:00:00+00:00,1.2470264099121093,1.2301944335755297,1.3311862915950072,7405.704042337205,2.0,2020-05-07 00:00:00+00:00,1.2300819335755298,-125.48577690109452,-1.2548577690109453,stop_loss,5,normal,1.2301944335755297,1.3311862915950072,7405.704042337205,0.0,False,False
AUDUSD,sniper,long,2020-05-11 00:00:00+00:00,0.6536381572914124,0.6422968903267277,0.710344492114836,10592.239966348181,2.0,2020-05-14 00:00:00+00:00,0.6421893903267276,-121.26808700874084,-1.2126808700874083,stop_loss,3,normal,0.6422968903267277,0.710344492114836,10592.239966348181,0.0,False,False
EURUSD,sniper,short,2020-05-07 00:00:00+00:00,1.0799510678863526,1.0906229721248981,1.0265915466936257,11256.605993377154,2.0,2020-05-18 00:00:00+00:00,1.090725472124898,-121.28322332667797,-1.2128322332667796,stop_loss,7,normal,1.0906229721248981,1.0265915466936257,11256.605993377154,0.0,False,False
AUDUSD,background,long,2020-04-14 00:00:00+00:00,0.6399175256919861,0.6107961780994806,0.6835995470807444,1450.3145154642802,1.0,2020-06-02 00:00:00+00:00,0.6834920470807444,63.196760874524884,0.6319676087452488,take_profit,35,normal,0.6107961780994806,0.6835995470807444,1450.3145154642802,0.0,False,False
GBPUSD,sniper,short,2020-05-08 00:00:00+00:00,1.2372968532562256,1.2527224654436835,1.1601687923189365,7787.659883607856,2.0,2020-06-02 00:00:00+00:00,1.2528349654436834,-121.00553294926357,-1.2100553294926357,stop_loss,17,normal,1.2527224654436835,1.1601687923189365,7787.659883607856,0.0,False,False
USDJPY,sniper,short,2020-03-31 00:00:00+00:00,108.04474975585937,109.46480209559891,100.94448805716168,3004.512219664793,2.0,2020-06-05 00:00:00+00:00,109.47605209559892,-39.80170604772085,-0.3980170604772085,stop_loss,48,high,109.46480209559891,100.94448805716168,3004.512219664793,0.0,False,False
GBPUSD,sniper,long,2020-06-17 00:00:00+00:00,1.2584964893341064,1.244800667169234,1.326975600158468,8473.202875582496,2.0,2020-06-18 00:00:00+00:00,1.244688167169234,-117.00071507436614,-1.1700071507436616,stop_loss,1,normal,1.244800667169234,1.326975600158468,8473.202875582496,0.0,False,False
USDJPY,sniper,short,2020-06-11 00:00:00+00:00,107.00374938964843,107.89392021821048,102.55289524683816,2711.294707260274,2.0,2020-06-30 00:00:00+00:00,107.90517021821049,-22.84048489361532,-0.22840484893615318,stop_loss,13,normal,107.89392021821048,102.55289524683816,2711.294707260274,0.0,False,False
GBPUSD,sniper,short,2020-06-19 00:00:00+00:00,1.2423704006195069,1.256818383618655,1.1701304856237664,7934.911826566392,2.0,2020-07-07 00:00:00+00:00,1.256930883618655,-115.53614875045946,-1.1553614875045946,stop_loss,12,normal,1.256818383618655,1.1701304856237664,7934.911826566392,0.0,False,False
EURUSD,sniper,long,2020-06-25 00:00:00+00:00,1.1252403059387206,1.1149791117804089,1.1765462767302797,11172.527232330758,2.0,2020-07-27 00:00:00+00:00,1.1764437767302798,572.0721718085475,5.720721718085475,take_profit,22,normal,1.1149791117804089,1.1765462767302797,11172.527232330758,0.0,False,False
AUDUSD,sniper,long,2020-05-20 00:00:00+00:00,0.6544173092079163,0.638746027606095,0.7327737172170226,7479.848072841084,2.0,2020-08-28 00:00:00+00:00,0.7326662172170225,585.2899437738324,5.8528994377383246,take_profit,72,low,0.638746027606095,0.7327737172170226,7479.848072841084,0.0,False,False
USDJPY,background,short,2020-08-19 00:00:00+00:00,105.21075012207031,106.78714350389939,102.8461600493267,1898.535677024319,1.0,2020-08-28 00:00:00+00:00,106.79839350389939,-28.64914088433783,-0.2864914088433783,stop_loss,7,normal,106.78714350389939,102.8461600493267,1898.535677024319,0.0,False,False
GBPUSD,sniper,long,2020-08-27 00:00:00+00:00,1.3220070264816284,1.309397133787713,1.3850564899512054,9504.269428539636,2.0,2020-09-08 00:00:00+00:00,1.309284633787713,-120.91704793865506,-1.2091704793865505,stop_loss,8,normal,1.309397133787713,1.3850564899512054,9504.269428539636,0.0,False,False
AUDUSD,sniper,short,2020-09-09 00:00:00+00:00,0.7208626538085937,0.7286631953382807,0.6818599461601588,16034.335848523246,2.0,2020-09-10 00:00:00+00:00,0.7287706953382808,-126.80019379107165,-1.2680019379107166,stop_loss,1,normal,0.7286631953382807,0.6818599461601588,16034.335848523246,0.0,False,False
USDJPY,background,short,2020-09-10 00:00:00+00:00,106.22674896240234,107.5704078070873,104.2112606953749,1938.5403012693266,1.0,2020-09-21 00:00:00+00:00,104.22251069537491,36.57550185739022,0.3657550185739022,take_profit,7,normal,107.5704078070873,104.2112606953749,1938.5403012693266,0.0,False,False
AUDUSD,sniper,long,2020-09-16 00:00:00+00:00,0.7296191782188416,0.722144464338006,0.7669927476230193,16529.7163652839,2.0,2020-09-21 00:00:00+00:00,0.722036964338006,-125.33184487113057,-1.2533184487113058,stop_loss,3,normal,0.722144464338006,0.7669927476230193,16529.7163652839,0.0,False,False
EURUSD,sniper,long,2020-08-14 00:00:00+00:00,1.181995967903137,1.1717754220330499,1.2330986972535731,11726.166014156504,2.0,2020-09-22 00:00:00+00:00,1.17167292203305,-121.04974964439452,-1.2104974964439452,stop_loss,27,normal,1.1717754220330499,1.2330986972535731,11726.166014156504,0.0,False,False
EURUSD,sniper,short,2020-09-23 00:00:00+00:00,1.1706520518875123,1.1804239913473151,1.121792354588498,12386.203142974311,2.0,2020-10-06 00:00:00+00:00,1.180526491347315,-122.30681307211786,-1.2230681307211786,stop_loss,9,normal,1.1804239913473151,1.121792354588498,12386.203142974311,0.0,False,False
AUDUSD,sniper,short,2020-10-08 00:00:00+00:00,0.7136174112129211,0.7213033707993101,0.6751876132809761,15556.879287375416,2.0,2020-10-09 00:00:00+00:00,0.7214108707993101,-121.24191001649234,-1.2124191001649234,stop_loss,1,normal,0.7213033707993101,0.6751876132809761,15556.879287375416,0.0,False,False
GBPUSD,background,short,2020-09-14 00:00:00+00:00,1.2808713056564331,1.3044419912506588,1.2455152772650944,1747.2960904190552,1.0,2020-10-12 00:00:00+00:00,1.3045544912506588,-41.38153759745939,-0.41381537597459395,stop_loss,20,high,1.3044419912506588,1.2455152772650944,1747.2960904190552,0.0,False,False
AUDUSD,sniper,long,2020-10-12 00:00:00+00:00,0.7224160165023804,0.7146719092739139,0.7611365526447128,15188.07276962538,2.0,2020-10-15 00:00:00+00:00,0.7145644092739138,-119.25078194446678,-1.1925078194446679,stop_loss,3,normal,0.7146719092739139,0.7611365526447128,15188.07276962538,0.0,False,False
GBPUSD,sniper,short,2020-09-09 00:00:00+00:00,1.2966856100082398,1.308038808434246,1.2399196178782088,11016.851638992577,2.0,2020-10-21 00:00:00+00:00,1.308151308434246,-126.315898496741,-1.26315898496741,stop_loss,30,high,1.308038808434246,1.2399196178782088,11016.851638992577,0.0,False,False
GBPUSD,sniper,long,2020-10-23 00:00:00+00:00,1.3079516551971435,1.2941655563137329,1.3768821496141972,8317.890719210305,2.0,2020-10-28 00:00:00+00:00,1.294053056313733,-115.60702666234779,-1.156070266623478,stop_loss,3,normal,1.2941655563137329,1.3768821496141972,8317.890719210305,0.0,False,False
GBPUSD,sniper,short,2020-10-30 00:00:00+00:00,1.2930968143463135,1.3124551866263956,1.1963049529459027,5851.937239219602,2.0,2020-11-04 00:00:00+00:00,1.3125676866263956,-113.94232257590077,-1.1394232257590076,stop_loss,3,low,1.3124551866263956,1.1963049529459027,5851.937239219602,0.0,False,False
EURUSD,sniper,short,2020-10-06 00:00:00+00:00,1.178725739440918,1.1915891938044967,1.1144084676230248,9295.29052721999,2.0,2020-11-09 00:00:00+00:00,1.1916916938044966,-120.52231277213794,-1.2052231277213794,stop_loss,24,low,1.1915891938044967,1.1144084676230248,9295.29052721999,0.0,False,False
EURUSD,sniper,long,2020-11-09 00:00:00+00:00,1.1894176998519896,1.1820170552476792,1.2264209228735423,14927.132691653607,2.0,2020-11-10 00:00:00+00:00,1.1819145552476793,-112.00043511320526,-1.1200043511320525,stop_loss,1,high,1.1820170552476792,1.2264209228735423,14927.132691653607,0.0,False,False
AUDUSD,sniper,long,2020-11-05 00:00:00+00:00,0.7177075475883484,0.7110940811049453,0.7507748800053637,16922.543124160322,2.0,2020-12-10 00:00:00+00:00,0.7506673800053637,557.7641854420384,5.577641854420384,take_profit,25,high,0.7110940811049453,0.7507748800053637,16922.543124160322,0.0,False,False
GBPUSD,sniper,long,2020-11-05 00:00:00+00:00,1.2962215803146362,1.2823314559795727,1.3656722019899536,8057.283654622237,2.0,2020-12-31 00:00:00+00:00,1.3655597019899537,558.6769144167436,5.586769144167436,take_profit,40,normal,1.2823314559795727,1.3656722019899536,8057.283654622237,0.0,False,False
USDJPY,background,short,2020-10-15 00:00:00+00:00,105.12774993896484,106.67287744657314,102.8100586775524,1841.9978677665008,1.0,2021-01-04 00:00:00+00:00,102.82130867755241,40.41235437947593,0.4041235437947593,take_profit,57,low,106.67287744657314,102.8100586775524,1841.9978677665008,0.0,False,False
GBPUSD,sniper,short,2021-01-12 00:00:00+00:00,1.3524635173797608,1.3662012923865177,1.2837746423459766,8954.043881291662,2.0,2021-01-13 00:00:00+00:00,1.3663137923865176,-124.01597017845792,-1.2401597017845791,stop_loss,1,normal,1.3662012923865177,1.2837746423459766,8954.043881291662,0.0,False,False
AUDUSD,sniper,long,2021-01-22 00:00:00+00:00,0.7762519449424744,0.7673412333697174,0.8208055028062597,13637.569526007266,2.0,2021-01-26 00:00:00+00:00,0.7672337333697173,-122.98648732371777,-1.2298648732371777,stop_loss,2,normal,0.7673412333697174,0.8208055028062597,13637.569526007266,0.0,False,False
AUDUSD,background,short,2021-02-03 00:00:00+00:00,0.7607926398086547,0.7780415485214744,0.7349192767394253,2319.8493839123776,1.0,2021-02-15 00:00:00+00:00,0.7781490485214745,-40.26425405936629,-0.4026425405936629,stop_loss,8,normal,0.7780415485214744,0.7349192767394253,2319.8493839123776,0.0,False,False
USDJPY,sniper,short,2020-07-10 00:00:00+00:00,107.22175170898437,108.17157775547996,102.4726214765064,2634.3290835448793,2.0,2021-03-05 00:00:00+00:00,108.18282775547996,-23.612658256631736,-0.23612658256631736,stop_loss,170,low,108.17157775547996,102.4726214765064,2634.3290835448793,0.0,False,False
EURUSD,sniper,short,2021-01-12 00:00:00+00:00,1.216057797393799,1.2249829472153504,1.1714320482860414,13782.249340485621,2.0,2021-03-30 00:00:00+00:00,1.1715345482860413,613.6305206516695,6.1363052065166945,take_profit,55,normal,1.2249829472153504,1.1714320482860414,13782.249340485621,0.0,False,False
AUDUSD,sniper,long,2021-01-28 00:00:00+00:00,0.7652775973510743,0.7558145759786568,0.8125927042131615,12685.653558987922,2.0,2021-04-01 00:00:00+00:00,0.7557070759786567,-121.40831850937853,-1.2140831850937852,stop_loss,45,normal,0.7558145759786568,0.8125927042131615,12685.653558987922,0.0,False,False
AUDUSD,sniper,short,2021-04-09 00:00:00+00:00,0.7655124932098388,0.776415158840526,0.710999165056403,11482.031869100976,2.0,2021-04-19 00:00:00+00:00,0.7765226588405261,-126.41907265563115,-1.2641907265563115,stop_loss,6,low,0.776415158840526,0.710999165056403,11482.031869100976,0.0,False,False
USDJPY,background,short,2021-04-20 00:00:00+00:00,108.09375335693359,109.37743733023426,106.16822739698259,1906.7972865720678,1.0,2021-05-03 00:00:00+00:00,109.38868733023426,-22.84291654140554,-0.22842916541405542,stop_loss,9,normal,109.37743733023426,106.16822739698259,1906.7972865720678,0.0,False,False
AUDUSD,sniper,long,2021-05-10 00:00:00+00:00,0.7857398122978211,0.7778824066567502,0.8250268405031753,15704.116090730582,2.0,2021-05-12 00:00:00+00:00,0.7777749066567502,-125.08180283909206,-1.2508180283909205,stop_loss,2,normal,0.7778824066567502,0.8250268405031753,15704.116090730582,0.0,False,False
USDJPY,sniper,short,2021-05-11 00:00:00+00:00,108.82374908447265,109.74923730346309,104.19630798952048,2834.712353632378,2.0,2021-05-13 00:00:00+00:00,109.7604873034631,-24.40077119040072,-0.24400771190400722,stop_loss,2,low,109.74923730346309,104.19630798952048,2834.712353632378,0.0,False,False
USDJPY,sniper,long,2021-05-14 00:00:00+00:00,109.53024719238282,108.88110419068293,112.77596220088226,2775.4849137106794,2.0,2021-05-18 00:00:00+00:00,108.86985419068293,-16.734289023549437,-0.16734289023549437,stop_loss,2,normal,108.88110419068293,112.77596220088226,2775.4849137106794,0.0,False,False
AUDUSD,sniper,short,2021-05-14 00:00:00+00:00,0.7722823291587829,0.780479839012155,0.7312947798919227,14833.750937299978,2.0,2021-05-18 00:00:00+00:00,0.780587339012155,-123.1944476967443,-1.231944476967443,stop_loss,2,normal,0.780479839012155,0.7312947798919227,14833.750937299978,0.0,False,False
AUDUSD,background,short,2021-03-10 00:00:00+00:00,0.7714974551963806,0.7900167906332469,0.7437184520410811,2146.9108725242304,1.0,2021-07-08 00:00:00+00:00,0.7438259520410812,59.40825098320089,0.5940825098320088,take_profit,86,normal,0.7900167906332469,0.7437184520410811,2146.9108725242304,0.0,False,False
EURUSD,sniper,long,2021-04-08 00:00:00+00:00,1.187299708404541,1.1761871626924343,1.242862436965074,11265.173388067069,2.0,2021-07-20 00:00:00+00:00,1.1760846626924344,-126.33943450197806,-1.2633943450197807,stop_loss,73,low,1.1761871626924343,1.242862436965074,11265.173388067069,0.0,False,False
USDJPY,sniper,long,2021-06-11 00:00:00+00:00,109.40424774169922,108.78562719601469,112.49735047012193,2740.3112106184008,2.0,2021-08-04 00:00:00+00:00,108.77437719601468,-15.776730366565065,-0.15776730366565064,stop_loss,38,normal,108.78562719601469,112.49735047012193,2740.3112106184008,0.0,False,False
USDJPY,sniper,long,2021-08-10 00:00:00+00:00,110.32925079345704,109.68690535000447,113.54097801071985,2694.846987730322,2.0,2021-08-16 00:00:00+00:00,109.67565535000446,-15.964394748585441,-0.1596439474858544,stop_loss,4,normal,109.68690535000447,113.54097801071985,2694.846987730322,0.0,False,False
AUDUSD,sniper,short,2021-06-11 00:00:00+00:00,0.7746424346733093,0.7846889869469059,0.724409673305326,11936.500340072316,2.0,2021-08-18 00:00:00+00:00,0.7245171733053261,598.3201993651455,5.9832019936514556,take_profit,48,low,0.7846889869469059,0.724409673305326,11936.500340072316,0.0,False,False
