pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime
GBPUSD,sniper,long,2020-02-17 00:00:00+00:00,1.305203642654419,1.2951600350538282,1.3654652882579636,11947.898083248667,2.0,2020-02-19 00:00:00+00:00,1.2950475350538282,-121.344138534365,-1.21344138534365,stop_loss,2,normal
GBPUSD,sniper,short,2020-02-21 00:00:00+00:00,1.2880326845169068,1.298230716028394,1.2268444954479842,11624.191414201756,2.0,2020-02-25 00:00:00+00:00,1.2983432160283939,-119.85159187168485,-1.1985159187168484,stop_loss,2,normal
USDJPY,sniper,long,2020-02-07 00:00:00+00:00,109.96625183105469,109.06152583957288,115.39460777994559,2728.109715523462,2.0,2020-02-28 00:00:00+00:00,109.05027583957288,-22.724089981596396,-0.22724089981596396,stop_loss,15,normal
USDJPY,sniper,short,2020-02-28 00:00:00+00:00,109.64674713134765,110.66060850505751,103.56357888908848,2663.84925253168,2.0,2020-03-09 00:00:00+00:00,103.57482888908848,147.5162309347824,1.475162309347824,take_profit,6,normal
GBPUSD,sniper,long,2020-03-09 00:00:00+00:00,1.3097673318862915,1.2976057220090509,1.3827369911497347,9752.257976020213,2.0,2020-03-10 00:00:00+00:00,1.297493222009051,-119.70028594886749,-1.1970028594886748,stop_loss,1,normal
AUDUSD,sniper,short,2020-03-12 00:00:00+00:00,0.6477425962257385,0.6579339064129648,0.5865947351023805,11496.73117025081,2.0,2020-03-18 00:00:00+00:00,0.5867022351023805,701.7646223702754,7.017646223702754,take_profit,4,normal
GBPUSD,sniper,short,2020-03-13 00:00:00+00:00,1.2571640350341797,1.2739179665560456,1.1566404459029838,6993.388587166098,2.0,2020-03-19 00:00:00+00:00,1.1567529459029837,702.2137647550239,7.022137647550239,take_profit,4,normal
EURUSD,sniper,long,2020-03-30 00:00:00+00:00,1.1136386194610595,1.1010904618080049,1.1889275653793867,10680.01358016565,2.0,2020-03-31 00:00:00+00:00,1.100987961808005,-135.10919553264867,-1.3510919553264868,stop_loss,1,high
EURUSD,sniper,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.092871014087012,1.007824538150964,10897.009856786091,2.0,2020-04-09 00:00:00+00:00,1.0929735140870118,-133.51012730461042,-1.335101273046104,stop_loss,3,high
AUDUSD,sniper,short,2020-04-07 00:00:00+00:00,0.6117228537368774,0.623813336603588,0.5391799565366138,10950.198205798471,2.0,2020-04-09 00:00:00+00:00,0.623920836603588,-133.57033010141478,-1.335703301014148,stop_loss,2,high
EURUSD,sniper,short,2020-04-20 00:00:00+00:00,1.0865233144378663,1.0993800459442444,1.0093829253995974,10048.294019465951,2.0,2020-05-01 00:00:00+00:00,1.0994825459442443,-130.2181684424129,-1.3021816844241287,stop_loss,9,normal
EURUSD,sniper,long,2020-05-01 00:00:00+00:00,1.0945775308990477,1.0835108431807638,1.160977657208751,11532.411823029246,2.0,2020-05-05 00:00:00+00:00,1.083408343180764,-128.80767249596903,-1.2880767249596903,stop_loss,2,normal
AUDUSD,sniper,long,2020-05-11 00:00:00+00:00,0.6536381572914124,0.6422968903267277,0.7216857590795207,11116.915650319752,2.0,2020-05-14 00:00:00+00:00,0.6421893903267276,-127.27497664656795,-1.2727497664656795,stop_loss,3,normal
EURUSD,sniper,short,2020-05-07 00:00:00+00:00,1.0799510678863526,1.0906229721248981,1.0159196424550805,11814.190363400621,2.0,2020-05-18 00:00:00+00:00,1.090725472124898,-127.29086272640546,-1.2729086272640546,stop_loss,7,normal
USDJPY,sniper,short,2020-03-31 00:00:00+00:00,108.04474975585937,109.46480209559891,99.52443571742214,3063.3877188259953,2.0,2020-06-05 00:00:00+00:00,109.47605209559892,-40.581648061499195,-0.405816480614992,stop_loss,48,high
EURUSD,sniper,long,2020-06-25 00:00:00+00:00,1.1252403059387206,1.1149791117804089,1.1868074708885914,11941.898425699963,2.0,2020-07-31 00:00:00+00:00,1.1867049708885915,734.0047856010391,7.340047856010392,take_profit,26,normal
GBPUSD,sniper,long,2020-05-28 00:00:00+00:00,1.2264291904449462,1.2088978716654835,1.3316171031217223,7017.448013426192,2.0,2020-08-28 00:00:00+00:00,1.3315046031217224,737.3612459485798,7.373612459485798,take_profit,66,low
USDJPY,sniper,short,2020-08-20 00:00:00+00:00,106.07874633789062,106.67984755246168,102.47213905046425,3095.4880295667895,2.0,2020-08-28 00:00:00+00:00,106.69109755246168,-17.86904464875206,-0.17869044648752058,stop_loss,6,high
EURUSD,sniper,long,2020-08-14 00:00:00+00:00,1.181995967903137,1.1717754220330499,1.2433192431236602,12851.191850385547,2.0,2020-09-22 00:00:00+00:00,1.17167292203305,-132.6634429568201,-1.3266344295682009,stop_loss,27,normal
EURUSD,sniper,short,2020-09-23 00:00:00+00:00,1.1706520518875123,1.1804239913473151,1.1120204151286952,14161.788605172706,2.0,2020-10-06 00:00:00+00:00,1.180526491347315,-139.83972422430173,-1.3983972422430173,stop_loss,9,normal
GBPUSD,sniper,short,2020-09-09 00:00:00+00:00,1.2966856100082398,1.308038808434246,1.2285664194522028,12329.574182999302,2.0,2020-10-21 00:00:00+00:00,1.308151308434246,-141.36717930334177,-1.4136717930334177,stop_loss,30,high
EURUSD,sniper,short,2020-10-06 00:00:00+00:00,1.178725739440918,1.1903028483681388,1.1092630858775934,11808.653184573657,2.0,2020-11-09 00:00:00+00:00,1.1904053483681387,-137.92045115299894,-1.3792045115299894,stop_loss,24,low
EURUSD,sniper,long,2020-11-09 00:00:00+00:00,1.1894176998519896,1.1820170552476792,1.2338215674778528,18019.864453216906,2.0,2020-11-10 00:00:00+00:00,1.1819145552476793,-135.20564874255814,-1.3520564874255814,stop_loss,1,high
GBPUSD,sniper,short,2020-12-14 00:00:00+00:00,1.3317114450454712,1.3451945699056782,1.2508126958842294,9770.446110752133,2.0,2020-12-16 00:00:00+00:00,1.3453070699056782,-132.83532003865386,-1.3283532003865386,stop_loss,2,normal
AUDUSD,sniper,long,2020-06-17 00:00:00+00:00,0.6895776719284058,0.6781290535267467,0.7582693823383604,10703.31231820832,2.0,2020-12-17 00:00:00+00:00,0.7581618823383603,734.0782241154578,7.340782241154578,take_profit,131,normal
USDJPY,sniper,short,2020-08-28 00:00:00+00:00,106.64774658203125,107.26154930622447,102.96493023687195,3281.3656803354265,2.0,2020-12-17 00:00:00+00:00,102.97618023687195,112.96771084434862,1.1296771084434862,take_profit,79,high
GBPUSD,sniper,long,2020-12-17 00:00:00+00:00,1.3504054210662841,1.3395122178241612,1.4157646405190216,12880.203289303949,2.0,2020-12-21 00:00:00+00:00,1.3393997178241612,-141.75569510029464,-1.4175569510029464,stop_loss,2,high
USDJPY,sniper,short,2020-12-31 00:00:00+00:00,103.12275268554687,103.85003767887106,98.75904272560176,3360.2090780028007,2.0,2021-01-07 00:00:00+00:00,103.86128767887107,-24.064834620522177,-0.24064834620522177,stop_loss,5,low
AUDUSD,sniper,long,2021-01-22 00:00:00+00:00,0.7762519449424744,0.7673412333697174,0.8297162143790169,15522.534282949824,2.0,2021-01-26 00:00:00+00:00,0.7672337333697173,-139.98549830901635,-1.3998549830901634,stop_loss,2,normal
USDJPY,sniper,long,2021-02-16 00:00:00+00:00,105.39625213623047,104.81327482635727,108.89411599546965,3241.0308033837764,2.0,2021-03-08 00:00:00+00:00,108.88286599546964,107.2165536084981,1.072165536084981,take_profit,14,normal
GBPUSD,sniper,long,2021-03-15 00:00:00+00:00,1.3932000062942504,1.3817495367996524,1.4619028232618392,12045.235228324935,2.0,2021-03-16 00:00:00+00:00,1.3816370367996524,-139.27868750037848,-1.3927868750037846,stop_loss,1,normal
AUDUSD,sniper,long,2021-01-28 00:00:00+00:00,0.7652775973510743,0.7558145759786568,0.822055725585579,14439.045894174498,2.0,2021-04-01 00:00:00+00:00,0.7557070759786567,-138.18919732751476,-1.3818919732751476,stop_loss,45,normal
AUDUSD,sniper,short,2021-04-09 00:00:00+00:00,0.7655124932098388,0.7753248922774573,0.7066380988041282,13716.725440104317,2.0,2021-04-15 00:00:00+00:00,0.7754323922774573,-136.06853190406946,-1.3606853190406947,stop_loss,4,low
USDJPY,sniper,short,2021-05-11 00:00:00+00:00,108.82374908447265,109.65668848156405,103.8261127019243,3054.5070045601888,2.0,2021-05-13 00:00:00+00:00,109.66793848156405,-23.695033926735384,-0.23695033926735384,stop_loss,2,low
USDJPY,sniper,long,2021-05-14 00:00:00+00:00,109.53024719238282,108.88110419068293,113.42510520258215,3028.314655773801,2.0,2021-05-18 00:00:00+00:00,108.86985419068293,-18.25868065563264,-0.18258680655632642,stop_loss,2,normal
EURUSD,sniper,short,2021-01-12 00:00:00+00:00,1.216057797393799,1.2249829472153504,1.1625068984644897,15497.423420232852,2.0,2021-05-25 00:00:00+00:00,1.2250854472153503,-139.90531177417085,-1.3990531177417085,stop_loss,95,normal
AUDUSD,sniper,long,2021-04-15 00:00:00+00:00,0.7728076905441285,0.7651771804470409,0.8185907511266541,17424.93750020164,2.0,2021-06-03 00:00:00+00:00,0.7650696804470408,-134.83434231768123,-1.3483434231768123,stop_loss,35,normal
GBPUSD,sniper,long,2021-06-09 00:00:00+00:00,1.4149399660110473,1.4025040326076677,1.4895555664313251,10386.099452512073,2.0,2021-06-17 00:00:00+00:00,1.4023915326076677,-130.3292773007254,-1.303292773007254,stop_loss,6,low
GBPUSD,sniper,short,2021-07-15 00:00:00+00:00,1.3856008388519288,1.3952558546523868,1.327670744049181,13215.606522224074,2.0,2021-07-29 00:00:00+00:00,1.3953683546523867,-129.0836455184592,-1.290836455184592,stop_loss,10,normal
USDJPY,sniper,short,2021-07-29 00:00:00+00:00,109.86774780273437,110.50049673953801,106.07125418191254,2868.1730662397126,2.0,2021-08-10 00:00:00+00:00,110.51174673953801,-16.81203485251786,-0.1681203485251786,stop_loss,8,normal
EURUSD,sniper,short,2021-06-07 00:00:00+00:00,1.2164721688842774,1.2240972686099738,1.1707215705300993,16938.905163043313,2.0,2021-08-11 00:00:00+00:00,1.1708240705300992,773.2288088946992,7.7322880889469925,take_profit,47,normal
USDJPY,sniper,long,2021-08-10 00:00:00+00:00,110.32925079345704,109.68690535000447,114.18332345417241,2851.60419188945,2.0,2021-08-16 00:00:00+00:00,109.67565535000446,-16.893031475744717,-0.1689303147574472,stop_loss,4,normal
USDJPY,sniper,short,2021-08-17 00:00:00+00:00,109.290751953125,109.94305715077974,105.37692076719651,3086.3126233945577,2.0,2021-08-18 00:00:00+00:00,109.95430715077974,-18.73844535097786,-0.1873844535097786,stop_loss,1,normal
AUDUSD,sniper,short,2021-06-15 00:00:00+00:00,0.7711641460227966,0.779865583219135,0.7189555228447663,14843.621599276643,2.0,2021-08-19 00:00:00+00:00,0.7190630228447663,773.3693573519832,7.733693573519833,take_profit,47,low
AUDUSD,sniper,short,2021-09-16 00:00:00+00:00,0.7336925535964965,0.7405974119892149,0.6922634032401864,20851.657442407697,2.0,2021-10-14 00:00:00+00:00,0.740704911989215,-146.2192950683569,-1.4621929506835691,stop_loss,20,normal
USDJPY,sniper,long,2021-11-02 00:00:00+00:00,114.09524963378907,113.53516142059786,117.45577891293632,3116.324097825497,2.0,2021-11-04 00:00:00+00:00,113.52391142059786,-15.605163646086183,-0.15605163646086184,stop_loss,2,high
EURUSD,sniper,short,2021-09-14 00:00:00+00:00,1.180967350921631,1.1881670568925862,1.1377691150958997,19997.72525074317,2.0,2021-11-16 00:00:00+00:00,1.1378716150958996,861.8166845215846,8.618166845215846,take_profit,45,low
USDJPY,sniper,long,2021-11-15 00:00:00+00:00,114.00224731445313,113.26806269268224,118.40735504507846,3114.759834447508,2.0,2021-11-26 00:00:00+00:00,113.25681269268223,-20.366702181705136,-0.20366702181705137,stop_loss,9,normal
