pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
EURUSD,background,long,2020-03-31 00:00:00+00:00,1.1029423275375365,1.0865920311490982,1.127467772120194,2752.2436860423245,1.0,2020-04-02 00:00:00+00:00,1.0864895311490983,-45.282104977819046,-0.4528210497781905,stop_loss,2,high,1.0865920311490982,1.127467772120194,2752.2436860423245,0.0,False,False
AUDUSD,sniper,short,2020-04-06 00:00:00+00:00,0.599520710067749,0.6183801900187818,0.5712314901411998,4354.649377775428,1.5,2020-04-07 00:00:00+00:00,0.6184876900187818,-82.594547442044,-0.8259454744204401,stop_loss,1,high,0.6183801900187818,0.5712314901411998,4354.649377775428,0.0,False,False
AUDUSD,background,short,2020-04-03 00:00:00+00:00,0.6067825227546692,0.6221947740180898,0.5836641458595383,2906.533884113287,1.0,2020-04-08 00:00:00+00:00,0.6223022740180898,-45.1086829201421,-0.451086829201421,stop_loss,3,high,0.6221947740180898,0.5836641458595383,2906.533884113287,0.0,False,False
EURUSD,background,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.0962728731244538,1.0573944841251177,2880.535413154904,1.0,2020-04-13 00:00:00+00:00,1.0963753731244537,-45.091485407447884,-0.45091485407447884,stop_loss,5,high,1.0962728731244538,1.0573944841251177,2880.535413154904,0.0,False,False
GBPUSD,background,long,2020-04-01 00:00:00+00:00,1.2412691972732544,1.2154394669063164,1.2800137928236612,1742.178464921184,1.0,2020-05-06 00:00:00+00:00,1.2443077899932862,5.293770800505719,0.05293770800505719,time_exit,25,high,1.2154394669063164,1.2800137928236612,1742.178464921184,0.0,False,False
USDJPY,background,short,2020-04-02 00:00:00+00:00,107.27475311279296,109.39482976774028,104.09463813037199,2087.9204671997363,1.0,2020-05-07 00:00:00+00:00,106.20225189208985,20.874410658845825,0.20874410658845827,time_exit,25,normal,109.39482976774028,104.09463813037199,2087.9204671997363,0.0,False,False
EURUSD,background,short,2020-04-20 00:00:00+00:00,1.0865233144378663,1.1019513922455202,1.0633811977263856,2853.1522108864915,1.0,2020-05-25 00:00:00+00:00,1.0908826389694213,-12.437816425177767,-0.12437816425177767,time_exit,25,normal,1.1019513922455202,1.0633811977263856,2853.1522108864915,0.0,False,False
USDJPY,sniper,short,2020-05-05 00:00:00+00:00,106.67174865722656,108.34421084352759,104.16305537777501,2521.7819227267473,1.5,2020-06-02 00:00:00+00:00,108.3554608435276,-39.80393129330254,-0.39803931293302536,stop_loss,20,low,108.34421084352759,104.16305537777501,2521.7819227267473,0.0,False,False
GBPUSD,background,short,2020-06-22 00:00:00+00:00,1.2344401218414307,1.25154820176891,1.208778001950212,2566.1163289256997,1.0,2020-06-23 00:00:00+00:00,1.2516607017689099,-44.19001134547442,-0.4419001134547441,stop_loss,1,normal,1.25154820176891,1.208778001950212,2566.1163289256997,0.0,False,False
EURUSD,background,long,2020-06-24 00:00:00+00:00,1.1314650574111937,1.1193204783048971,1.1496819260706386,3598.516492412425,1.0,2020-06-25 00:00:00+00:00,1.1192179783048972,-44.07131614788766,-0.44071316147887657,stop_loss,1,normal,1.1193204783048971,1.1496819260706386,3598.516492412425,0.0,False,False
USDJPY,background,short,2020-06-12 00:00:00+00:00,106.8107485961914,107.88408219752941,105.20074819418438,2055.0985661772525,1.0,2020-06-30 00:00:00+00:00,107.89533219752941,-20.86799534039203,-0.20867995340392034,stop_loss,12,normal,107.88408219752941,105.20074819418438,2055.0985661772525,0.0,False,False
