pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
EURUSD,background,long,2020-03-31 00:00:00+00:00,1.1029423275375365,1.0893170805471712,1.1233801980230844,2477.019317438092,0.75,2020-04-02 00:00:00+00:00,1.0892145805471714,-34.00389448003714,-0.34003894480037145,stop_loss,2,high,1.0893170805471712,1.1233801980230844,2477.019317438092,0.0,False,False
USDJPY,background,short,2020-04-02 00:00:00+00:00,107.27475311279296,109.0414836585824,104.62465729410883,2042.3101520664484,0.75,2020-04-06 00:00:00+00:00,109.0527336585824,-33.849415761641765,-0.33849415761641766,stop_loss,2,normal,109.0414836585824,104.62465729410883,2042.3101520664484,0.0,False,False
AUDUSD,background,short,2020-04-03 00:00:00+00:00,0.6067825227546692,0.6196260654741863,0.5875172086753934,2618.844160888529,0.75,2020-04-07 00:00:00+00:00,0.6197335654741863,-33.9167626034255,-0.339167626034255,stop_loss,2,high,0.6196260654741863,0.5875172086753934,2618.844160888529,0.0,False,False
AUDUSD,sniper,short,2020-04-06 00:00:00+00:00,0.599520710067749,0.6152369433602763,0.5680882434826944,3475.8205593476605,1.0,2020-04-07 00:00:00+00:00,0.6153444433602764,-55.000457503800774,-0.5500045750380078,stop_loss,1,high,0.6152369433602763,0.5680882434826944,3475.8205593476605,0.0,False,False
EURUSD,background,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.093680980524498,1.0612823230250512,2586.6037102391356,0.75,2020-04-09 00:00:00+00:00,1.093783480524498,-33.78612195823357,-0.3378612195823357,stop_loss,3,high,1.093680980524498,1.0612823230250512,2586.6037102391356,0.0,False,False
GBPUSD,background,long,2020-04-01 00:00:00+00:00,1.2412691972732544,1.2412691972732544,1.2735563602319266,1567.9606184290603,0.75,2020-05-04 00:00:00+00:00,1.2411566972732544,-0.17639556957320635,-0.0017639556957320633,breakeven_stop,23,high,1.2197444219674727,1.2735563602319266,1567.9606184290603,0.0,True,False
USDJPY,sniper,short,2020-05-05 00:00:00+00:00,106.67174865722656,108.06546714581076,103.88431168005816,2528.831153318829,1.0,2020-05-19 00:00:00+00:00,108.07671714581076,-33.30711390866756,-0.3330711390866756,stop_loss,10,low,108.06546714581076,103.88431168005816,2528.831153318829,0.0,False,False
USDJPY,background,short,2020-04-15 00:00:00+00:00,107.09274627685546,108.44422827265554,105.06552328315536,2060.9470108508094,0.75,2020-05-20 00:00:00+00:00,107.82124755859375,-14.019647372923789,-0.1401964737292379,time_exit,25,normal,108.44422827265554,105.06552328315536,2060.9470108508094,0.0,False,False
GBPUSD,background,short,2020-06-22 00:00:00+00:00,1.2344401218414307,1.24869685511433,1.2130550219320817,2310.9465200361797,0.75,2020-06-23 00:00:00+00:00,1.24880935511433,-33.20652962759471,-0.3320652962759471,stop_loss,1,normal,1.24869685511433,1.2130550219320817,2310.9465200361797,0.0,False,False
EURUSD,background,long,2020-06-24 00:00:00+00:00,1.1314650574111937,1.1213445748226132,1.1466457812940645,3244.3587367707514,0.75,2020-06-25 00:00:00+00:00,1.1212420748226133,-33.16702287711627,-0.33167022877116265,stop_loss,1,normal,1.1213445748226132,1.1466457812940645,3244.3587367707514,0.0,False,False
EURUSD,background,long,2020-07-01 00:00:00+00:00,1.1234707632446288,1.1234707632446288,1.1411424066390377,1388.7731042069063,0.75,2020-07-15 00:00:00+00:00,1.1410399066390378,43.07266357445114,0.4307266357445114,take_profit_partial,10,low,1.1116896676483563,1.1411424066390377,2777.5462084138126,18.673109764341547,True,True
EURUSD,sniper,long,2020-07-03 00:00:00+00:00,1.124076823272705,1.124076823272705,1.1517137644571034,1929.5050112476397,1.0,2020-07-22 00:00:00+00:00,1.1516112644571035,83.59229747728844,0.8359229747728844,take_profit_partial,13,low,1.1102583526805057,1.1517137644571034,3859.0100224952794,30.464455230088113,True,True
AUDUSD,sniper,long,2020-07-02 00:00:00+00:00,0.6915073723030091,0.6915073723030091,0.7205875621173127,1833.7437565357397,1.0,2020-07-31 00:00:00+00:00,0.7204800621173126,83.59359109693882,0.8359359109693882,take_profit_partial,21,low,0.6769672773958573,0.7205875621173127,3667.4875130714795,30.465102039913038,True,True
USDJPY,background,short,2020-08-20 00:00:00+00:00,106.07874633789062,106.07874633789062,104.8765439087485,2101.0906942281226,0.75,2020-08-28 00:00:00+00:00,106.08999633789062,-0.2228275797564895,-0.002228275797564895,breakeven_stop,6,normal,106.88021462398537,104.8765439087485,2101.0906942281226,0.0,True,False
USDJPY,sniper,short,2020-08-24 00:00:00+00:00,105.89174987792968,106.83194223929215,104.01136515520476,2572.534621935949,1.0,2020-08-28 00:00:00+00:00,106.84319223929215,-23.114344773818697,-0.23114344773818696,stop_loss,4,normal,106.83194223929215,104.01136515520476,2572.534621935949,0.0,False,False
AUDUSD,sniper,long,2020-08-24 00:00:00+00:00,0.7161988348197937,0.7161988348197937,0.7342145341619669,3024.1423057129678,1.0,2020-08-28 00:00:00+00:00,0.7341070341619669,85.15902011685375,0.8515902011685376,take_profit_partial,4,normal,0.7071909851487072,0.7342145341619669,6048.2846114259355,31.00207686704684,True,True
USDJPY,background,short,2020-08-28 00:00:00+00:00,106.64774658203125,106.64774658203125,105.6656622233221,1054.7471860893436,0.75,2020-08-31 00:00:00+00:00,105.6769122233221,16.936795891198372,0.16936795891198372,take_profit_partial,1,high,107.30246948783734,105.6656622233221,2109.494372178687,7.335235231689354,True,True
GBPUSD,sniper,long,2020-08-17 00:00:00+00:00,1.3105567358016967,1.3105567358016967,1.3442049460586276,1619.1660160126626,1.0,2020-09-01 00:00:00+00:00,1.3440924460586277,85.44489835897943,0.8544489835897944,take_profit_partial,11,low,1.2937326306732313,1.3442049460586276,3238.332032025325,31.14501598810962,True,True
EURUSD,sniper,long,2020-08-24 00:00:00+00:00,1.1800156631851195,1.1800156631851195,1.2057158431429675,2119.908834764193,1.0,2020-09-03 00:00:00+00:00,1.1799131631851196,30.89259085378479,0.3089259085378479,breakeven_stop_partial,8,normal,1.1671655732061956,1.2057158431429675,4239.817669528386,31.109881509347893,True,True
EURUSD,background,short,2020-09-09 00:00:00+00:00,1.176811119041443,1.1863452632906983,1.1625099026675598,3575.633908515557,0.75,2020-09-10 00:00:00+00:00,1.1864477632906982,-34.457111941938535,-0.34457111941938534,stop_loss,1,normal,1.1863452632906983,1.1625099026675598,3575.633908515557,0.0,False,False
USDJPY,background,short,2020-09-01 00:00:00+00:00,105.97874786376953,105.97874786376953,104.9745792396725,1072.269787086663,0.75,2020-09-16 00:00:00+00:00,104.9858292396725,17.72160988176091,0.17721609881760908,take_profit_partial,11,high,106.64819361316755,104.9745792396725,2144.539574173326,7.675476452976737,True,True
EURUSD,sniper,long,2020-09-15 00:00:00+00:00,1.1867925920867919,1.175300899653376,1.2097759769536234,4817.876347070243,1.0,2020-09-17 00:00:00+00:00,1.1751983996533761,-55.85938548833453,-0.5585938548833453,stop_loss,2,normal,1.175300899653376,1.2097759769536234,4817.876347070243,0.0,False,False
USDJPY,background,short,2020-09-16 00:00:00+00:00,105.36974670410156,105.36974670410156,104.36876132819343,1076.6571434220527,0.75,2020-09-18 00:00:00+00:00,104.38001132819343,17.83950173240032,0.17839501732400317,take_profit_partial,2,normal,106.03707028804031,104.36876132819343,2153.3142868441055,7.726488311561233,True,True
EURUSD,background,long,2020-09-16 00:00:00+00:00,1.1843753853225707,1.173093814615127,1.201297741383736,3016.7897741763145,0.75,2020-09-22 00:00:00+00:00,1.1729913146151272,-34.34334809871572,-0.34343348098715726,stop_loss,4,low,1.173093814615127,1.201297741383736,3016.7897741763145,0.0,False,False
