pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
EURUSD,background,long,2020-03-31 00:00:00+00:00,1.1029423275375365,1.0906796052462078,1.119973886275493,3669.658248056433,1.0,2020-04-02 00:00:00+00:00,1.0905771052462079,-45.3761399704254,-0.453761399704254,stop_loss,2,high,1.0906796052462078,1.119973886275493,3669.658248056433,0.0,False,False
GBPUSD,background,long,2020-04-01 00:00:00+00:00,1.2412691972732544,1.221896899498051,1.2681751664054812,2322.9046198949254,1.0,2020-04-03 00:00:00+00:00,1.221784399498051,-45.26132676973808,-0.4526132676973808,stop_loss,2,high,1.221896899498051,1.2681751664054812,2322.9046198949254,0.0,False,False
USDJPY,background,short,2020-04-02 00:00:00+00:00,107.27475311279296,108.86481060400345,105.06633993055618,2087.90074413096,1.0,2020-04-06 00:00:00+00:00,108.87606060400346,-31.16643017547205,-0.3116643017547205,stop_loss,2,normal,108.86481060400345,105.06633993055618,2087.90074413096,0.0,False,False
AUDUSD,background,short,2020-04-03 00:00:00+00:00,0.6067825227546692,0.6183417112022346,0.5907280943552727,3857.721638672754,1.0,2020-04-07 00:00:00+00:00,0.6184492112022346,-45.00683647582674,-0.45006836475826734,stop_loss,2,high,0.6183417112022346,0.5907280943552727,3857.721638672754,0.0,False,False
AUDUSD,sniper,short,2020-04-06 00:00:00+00:00,0.599520710067749,0.6120936967017708,0.5743747367997053,6481.762863719628,1.5,2020-04-07 00:00:00+00:00,0.6122011967017709,-82.19190735829613,-0.8219190735829613,stop_loss,1,high,0.6120936967017708,0.5743747367997053,6481.762863719628,0.0,False,False
EURUSD,background,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.0923850342245203,1.0645221887749958,3811.190364621192,1.0,2020-04-09 00:00:00+00:00,1.0924875342245202,-44.84252947625292,-0.4484252947625292,stop_loss,3,high,1.0923850342245203,1.0645221887749958,3811.190364621192,0.0,False,False
EURUSD,background,long,2020-05-04 00:00:00+00:00,1.0958487787628173,1.086236964996312,1.109198520105186,4544.168020211583,1.0,2020-05-05 00:00:00+00:00,1.086134464996312,-44.143473956054166,-0.44143473956054163,stop_loss,1,normal,1.086236964996312,1.109198520105186,4544.168020211583,0.0,False,False
USDJPY,sniper,short,2020-05-05 00:00:00+00:00,106.67174865722656,107.78672344809391,104.44179907549184,2490.8686285700337,1.5,2020-05-19 00:00:00+00:00,107.79797344809391,-26.298228308824992,-0.2629822830882499,stop_loss,10,low,107.78672344809391,104.44179907549184,2490.8686285700337,0.0,False,False
USDJPY,background,short,2020-04-15 00:00:00+00:00,107.09274627685546,108.30908007307553,105.40339378210537,2039.2462726218478,1.0,2020-05-20 00:00:00+00:00,107.82124755859375,-13.872027518507167,-0.13872027518507168,time_exit,25,normal,108.30908007307553,105.40339378210537,2039.2462726218478,0.0,False,False
GBPUSD,background,short,2020-06-22 00:00:00+00:00,1.2344401218414307,1.24727118178704,1.2166192052503066,3374.49011488515,1.0,2020-06-23 00:00:00+00:00,1.24738368178704,-43.67791508788216,-0.4367791508788217,stop_loss,1,normal,1.24727118178704,1.2166192052503066,3374.49011488515,0.0,False,False
EURUSD,background,long,2020-06-24 00:00:00+00:00,1.1314650574111937,1.1223566230814712,1.1441156606469194,4732.0684073456205,1.0,2020-06-25 00:00:00+00:00,1.1222541230814713,-43.586771343814675,-0.4358677134381468,stop_loss,1,normal,1.1223566230814712,1.1441156606469194,4732.0684073456205,0.0,False,False
EURUSD,background,long,2020-07-01 00:00:00+00:00,1.1234707632446288,1.1234707632446288,1.1381971327399696,2023.2788062121401,1.0,2020-07-14 00:00:00+00:00,1.1380946327399697,54.05149560718236,0.5405149560718236,take_profit_partial,9,low,1.1128677772079836,1.1381971327399696,4046.5576124242803,24.463330392446913,True,True
EURUSD,sniper,long,2020-07-03 00:00:00+00:00,1.124076823272705,1.124076823272705,1.1461863762202238,3557.7497020666083,1.5,2020-07-20 00:00:00+00:00,1.146083876220224,123.1605635847581,1.2316056358475809,take_profit_partial,11,low,1.1130220467989456,1.1461863762202238,7115.499404133217,44.86497751735857,True,True
AUDUSD,sniper,long,2020-07-02 00:00:00+00:00,0.6915073723030091,0.6915073723030091,0.714771524154452,3381.178730011693,1.5,2020-07-22 00:00:00+00:00,0.714664024154452,123.16294884672813,1.2316294884672812,take_profit_partial,14,low,0.6798752963772876,0.714771524154452,6762.357460023386,44.86617014834354,True,True
USDJPY,sniper,short,2020-07-27 00:00:00+00:00,105.94475128173828,105.94475128173828,104.54581808551978,1276.4254992429846,1.5,2020-07-31 00:00:00+00:00,104.55706808551979,26.274581307052713,0.26274581307052713,take_profit_partial,4,normal,106.64421787984753,104.54581808551978,2552.8509984859693,9.55573308573832,True,True
GBPUSD,sniper,long,2020-08-17 00:00:00+00:00,1.3105567358016967,1.3105567358016967,1.3374753040072414,3022.267525625894,1.5,2020-08-20 00:00:00+00:00,1.3104442358016968,46.099180658013346,0.4609918065801334,breakeven_stop_partial,3,low,1.2970974516989244,1.3374753040072414,6044.535051251788,46.43918575464614,True,True
USDJPY,background,short,2020-08-20 00:00:00+00:00,106.07874633789062,106.07874633789062,105.07691098027219,1050.7044263141697,1.0,2020-08-28 00:00:00+00:00,106.08999633789062,7.993487622001458,0.07993487622001458,breakeven_stop_partial,6,normal,106.8000677953759,105.07691098027219,2101.4088526283394,8.104918282752173,True,True
GBPUSD,sniper,long,2020-08-24 00:00:00+00:00,1.3093900344848632,1.3093900344848632,1.334569894512528,3246.0638253981715,1.5,2020-08-28 00:00:00+00:00,1.334457394512528,128.00294224320245,1.2800294224320246,take_profit_partial,4,normal,1.296800104471031,1.334569894512528,6492.127650796343,46.632691659167826,True,True
USDJPY,sniper,short,2020-08-24 00:00:00+00:00,105.89174987792968,106.64390376701965,104.38744209974975,2572.9241688993743,1.5,2020-08-28 00:00:00+00:00,106.65515376701966,-18.548945684018264,-0.18548945684018264,stop_loss,4,normal,106.64390376701965,104.38744209974975,2572.9241688993743,0.0,False,False
AUDUSD,sniper,long,2020-08-24 00:00:00+00:00,0.7161988348197937,0.7161988348197937,0.7306113942935323,5671.125445367551,1.5,2020-08-28 00:00:00+00:00,0.7305038942935322,127.51401463316287,1.2751401463316288,take_profit_partial,4,normal,0.7089925550829245,0.7306113942935323,11342.250890735102,46.388227854148305,True,True
USDJPY,background,short,2020-08-28 00:00:00+00:00,106.64774658203125,106.64774658203125,105.82934294977362,1075.853646850026,1.0,2020-08-31 00:00:00+00:00,105.84059294977362,14.864968205211582,0.14864968205211582,take_profit_partial,1,high,107.23699719725674,105.82934294977362,2151.707293700052,6.72246912142016,True,True
EURUSD,sniper,long,2020-08-24 00:00:00+00:00,1.1800156631851195,1.1800156631851195,1.200575807151398,3975.4309550774888,1.5,2020-09-01 00:00:00+00:00,1.200473307151398,127.91834325812786,1.2791834325812788,take_profit_partial,6,normal,1.1697355912019805,1.200575807151398,7950.8619101549775,46.59039216663021,True,True
EURUSD,sniper,long,2020-09-01 00:00:00+00:00,1.1940182247543334,1.183752774008907,1.214549126245186,8273.804000961647,1.5,2020-09-02 00:00:00+00:00,1.1836502740089072,-85.78239235928042,-0.8578239235928042,stop_loss,1,normal,1.183752774008907,1.214549126245186,8273.804000961647,0.0,False,False
EURUSD,background,short,2020-09-09 00:00:00+00:00,1.176811119041443,1.1853918488657729,1.1648934387298737,5354.066046503513,1.0,2020-09-10 00:00:00+00:00,1.1854943488657728,-46.490585976430765,-0.46490585976430765,stop_loss,1,normal,1.1853918488657729,1.1648934387298737,5354.066046503513,0.0,False,False
USDJPY,background,short,2020-09-01 00:00:00+00:00,105.97874786376953,105.97874786376953,105.141940677022,1092.8562543462394,1.0,2020-09-16 00:00:00+00:00,105.15319067702201,15.542125081385919,0.15542125081385919,take_profit_partial,11,high,106.58124903822774,105.141940677022,2185.712508692479,7.028952836538644,True,True
EURUSD,sniper,long,2020-09-15 00:00:00+00:00,1.1867925920867919,1.1775992381400593,1.205179299980257,9119.965995403854,1.5,2020-09-17 00:00:00+00:00,1.1774967381400594,-84.77787189244103,-0.8477787189244104,stop_loss,2,normal,1.1775992381400593,1.205179299980257,9119.965995403854,0.0,False,False
