config,score,pos_years,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl
adx_sa8_ba15_sm3,33.224,1,7.48,1.21,19.92,0.143,32.89,152,2.11,1.091,1074.84,6.0,0.49
adx_sa10_ba15_sm3,33.224,1,7.48,1.21,19.92,0.143,32.89,152,2.11,1.091,1074.84,6.0,0.49
adx_sa15_ba15_sm3,32.342,1,7.25,1.17,20.1,0.143,33.1,145,2.01,1.097,1072.45,6.0,0.5
adx_sa12_ba15_sm3,31.824,1,7.16,1.16,20.16,0.142,33.1,145,2.01,1.096,1071.64,6.0,0.49
adx_sa12_ba20_sm3,30.014,1,6.56,1.06,19.89,0.133,32.26,124,1.72,1.095,1065.58,6.0,0.53
adx_sa8_ba20_sm3,29.723,1,5.68,0.93,19.98,0.118,30.3,132,1.83,1.073,1056.82,6.0,0.43
adx_sa10_ba20_sm3,29.723,1,5.68,0.93,19.98,0.118,30.3,132,1.83,1.073,1056.82,6.0,0.43
adx_sa15_ba25_sm3,28.877,1,5.5,0.9,20.1,0.119,27.62,105,1.46,1.084,1055.04,6.0,0.52
adx_sa15_ba20_sm3,28.184,1,5.42,0.88,20.18,0.117,31.45,124,1.72,1.078,1054.18,6.0,0.44
adx_sa12_ba25_sm3,27.846,1,5.35,0.87,20.22,0.117,27.62,105,1.46,1.082,1053.45,6.0,0.51
adx_sa8_ba25_sm3,26.964,1,5.22,0.85,20.32,0.113,28.44,109,1.51,1.072,1052.15,6.0,0.48
adx_sa10_ba25_sm3,26.964,1,5.22,0.85,20.32,0.113,28.44,109,1.51,1.072,1052.15,6.0,0.48
risk_s1.0_b1.0,20.371,1,-11.89,-2.09,19.84,-0.233,25.4,311,4.32,0.865,881.08,6.0,-0.38
risk_s1.0_b0.5,19.234,1,-13.4,-2.37,20.02,-0.25,26.46,495,6.88,0.866,865.97,6.0,-0.27
ema_5_13_8_21,26.954,0,-1.5,-0.25,19.77,0.011,29.34,167,2.32,0.982,984.99,6.0,-0.09
risk_s5.0_b2.0,23.231,0,-2.34,-0.39,19.57,0.037,32.97,91,1.26,0.973,976.59,6.0,-0.26
adx_sa8_ba15_sm2,21.742,0,-5.23,-0.89,19.93,-0.069,31.82,154,2.14,0.919,947.72,6.0,-0.34
adx_sa10_ba15_sm2,21.742,0,-5.23,-0.89,19.93,-0.069,31.82,154,2.14,0.919,947.72,6.0,-0.34
adx_sa12_ba15_sm2,21.742,0,-5.23,-0.89,19.93,-0.069,31.82,154,2.14,0.919,947.72,6.0,-0.34
adx_sa15_ba15_sm2,21.424,0,-5.48,-0.94,19.86,-0.074,32.03,153,2.13,0.915,945.16,6.0,-0.36
no_dyn_targets,19.957,0,-4.14,-0.7,19.95,-0.052,31.4,121,1.68,0.931,958.63,6.0,-0.34
risk_s2.0_b1.5,18.628,0,-5.34,-0.91,19.94,-0.07,30.65,124,1.72,0.918,946.57,6.0,-0.43
risk_s3.0_b1.5,18.495,0,-2.9,-0.49,20.45,0.006,32.38,105,1.46,0.962,971.01,6.0,-0.28
tgt_stp5.0_btp2.5_l1.35_h0.75,18.239,0,-5.4,-0.92,19.43,-0.076,33.33,123,1.71,0.907,946.0,6.0,-0.44
tgt_stp5.0_btp2.5_l1.35_h0.8,18.188,0,-5.42,-0.92,19.42,-0.076,32.79,122,1.69,0.906,945.79,6.0,-0.44
tgt_stp5.0_btp2.5_l1.25_h0.75,17.1,0,-6.17,-1.06,19.74,-0.091,32.8,125,1.74,0.894,938.29,6.0,-0.49
tgt_stp5.0_btp2.5_l1.25_h0.8,17.09,0,-6.19,-1.06,19.73,-0.091,32.26,124,1.72,0.894,938.08,6.0,-0.5
adx_sa15_ba25_sm2,16.969,0,-6.08,-1.04,19.85,-0.089,29.0,100,1.39,0.89,939.16,6.0,-0.61
adx_sa8_ba25_sm2,16.65,0,-6.25,-1.07,19.99,-0.093,28.0,100,1.39,0.886,937.53,6.0,-0.62
adx_sa10_ba25_sm2,16.65,0,-6.25,-1.07,19.99,-0.093,28.0,100,1.39,0.886,937.53,6.0,-0.62
adx_sa12_ba25_sm2,16.65,0,-6.25,-1.07,19.99,-0.093,28.0,100,1.39,0.886,937.53,6.0,-0.62
adx_sa15_ba20_sm2,16.47,0,-6.69,-1.15,19.89,-0.099,31.2,125,1.74,0.888,933.08,6.0,-0.54
alloc_70_30,16.397,0,-6.8,-1.17,19.89,-0.08,31.25,112,1.56,0.886,932.01,6.0,-0.61
tgt_stp5.0_btp3.0_l1.25_h0.8,16.389,0,-6.72,-1.15,19.96,-0.1,30.16,126,1.75,0.887,932.76,6.0,-0.53
ref_2pct_very_conservative,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
risk_s2.0_b1.0,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
adx_sa8_ba20_sm2,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
adx_sa10_ba20_sm2,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
adx_sa12_ba20_sm2,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
tgt_stp5.0_btp3.0_l1.25_h0.75,15.901,0,-7.07,-1.21,19.96,-0.107,29.6,125,1.74,0.881,929.3,6.0,-0.57
alloc_50_50,15.242,0,-8.71,-1.51,20.39,-0.135,26.7,221,3.07,0.897,912.93,6.0,-0.39
tgt_stp5.0_btp3.0_l1.35_h0.75,15.202,0,-7.49,-1.29,19.78,-0.116,28.57,119,1.65,0.87,925.13,6.0,-0.63
