pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime
GBPUSD,sniper,long,2020-02-17 00:00:00+00:00,1.305203642654419,1.2951600350538282,1.355421680657373,11947.898083248667,2.0,2020-02-19 00:00:00+00:00,1.2950475350538282,-121.344138534365,-1.21344138534365,stop_loss,2,normal
GBPUSD,sniper,short,2020-02-21 00:00:00+00:00,1.2880326845169068,1.298230716028394,1.2370425269594714,11624.191414201756,2.0,2020-02-25 00:00:00+00:00,1.2983432160283939,-119.85159187168485,-1.1985159187168484,stop_loss,2,normal
USDJPY,sniper,long,2020-02-07 00:00:00+00:00,109.96625183105469,109.06152583957288,114.48988178846378,2728.109715523462,2.0,2020-02-28 00:00:00+00:00,109.05027583957288,-22.724089981596396,-0.22724089981596396,stop_loss,15,normal
USDJPY,sniper,short,2020-02-28 00:00:00+00:00,109.64674713134765,110.66060850505751,104.57744026279833,2663.84925253168,2.0,2020-03-09 00:00:00+00:00,104.58869026279834,122.88463963647926,1.2288463963647926,take_profit,6,normal
GBPUSD,sniper,long,2020-03-09 00:00:00+00:00,1.3097673318862915,1.2976057220090509,1.3705753812724941,9727.953702279878,2.0,2020-03-10 00:00:00+00:00,1.297493222009051,-119.40197262249208,-1.1940197262249208,stop_loss,1,normal
AUDUSD,sniper,short,2020-03-12 00:00:00+00:00,0.6477425962257385,0.6579339064129648,0.5967860452896068,11468.07937472121,2.0,2020-03-17 00:00:00+00:00,0.5968935452896068,583.1409522647999,5.831409522647999,take_profit,3,normal
GBPUSD,sniper,short,2020-03-13 00:00:00+00:00,1.2571640350341797,1.2739179665560456,1.1733943774248499,6975.9598818331415,2.0,2020-03-19 00:00:00+00:00,1.1735068774248498,583.5889753108775,5.835889753108774,take_profit,4,normal
EURUSD,sniper,long,2020-03-30 00:00:00+00:00,1.1136386194610595,1.101927005651542,1.1721966885086472,11174.848779940812,2.0,2020-03-31 00:00:00+00:00,1.101824505651542,-132.02093529036694,-1.3202093529036694,stop_loss,1,high
EURUSD,sniper,short,2020-04-06 00:00:00+00:00,1.0807215175247193,1.0920610476495258,1.0240238669006874,11401.818297929358,2.0,2020-04-07 00:00:00+00:00,1.0921635476495257,-130.4599484424763,-1.304599484424763,stop_loss,1,high
AUDUSD,sniper,short,2020-04-07 00:00:00+00:00,0.6117228537368774,0.623007304412474,0.5553006003588946,11318.738178531452,2.0,2020-04-08 00:00:00+00:00,0.623114804412474,-128.9425070398226,-1.2894250703982262,stop_loss,1,high
