pair,feature,corr_with_next_day_return
EURUSD,atr_pct,0.032852804904755846
EURUSD,adx,0.0005825663105828602
EURUSD,rsi,-0.009667504074419974
EURUSD,ema3_9_spread,-0.027387611773260715
EURUSD,ema9_21_spread,-0.013296193277165438
EURUSD,plus_minus_di,0.18549115385335846
GBPUSD,atr_pct,0.05653469446754257
GBPUSD,adx,-0.02085535657364563
GBPUSD,rsi,-0.014714616782652384
GBPUSD,ema3_9_spread,-0.029753194419481495
GBPUSD,ema9_21_spread,-0.04147696945449337
GBPUSD,plus_minus_di,0.1803163666584868
USDJPY,atr_pct,-0.015282147540571238
USDJPY,adx,-0.027002209714886215
USDJPY,rsi,0.0038469550665874764
USDJPY,ema3_9_spread,-0.005660746620352134
USDJPY,ema9_21_spread,0.01176744778490335
USDJPY,plus_minus_di,0.2079192603032543
AUDUSD,atr_pct,0.04942413069501936
AUDUSD,adx,-0.007261446553438838
AUDUSD,rsi,-0.02410261189646063
AUDUSD,ema3_9_spread,-0.03125616154385276
AUDUSD,ema9_21_spread,-0.028200768506784372
AUDUSD,plus_minus_di,0.15611615113289232
